index,eigenvalue
1,2.052761
2,0.086501737
3,0.075446945
4,0.048984609
5,0.015320839
6,0.0034287746
7,0.0016374694
8,0.00099215577
9,0.00072220576
10,0.0004505427
11,0.00038440392
12,0.00019166076
13,0.00011724079
14,0.0001028271
15,9.3719312e-05
16,7.3425507e-05
17,4.4111294e-05
18,1.9984947e-05
19,1.6282173e-05
20,1.4082422e-05
21,1.2440062e-05
22,9.5899663e-06
23,8.5968635e-06
24,7.6789028e-06
25,2.0774406e-06
26,1.8561009e-06
27,1.7512826e-06
28,1.3439436e-06
29,1.052691e-06
30,9.4048238e-07
31,6.8115859e-07
32,6.1644222e-07
33,3.9810041e-07
34,3.4406435e-07
35,2.9116796e-07
36,2.6585645e-07
37,2.112623e-07
38,1.9778912e-07
39,1.7749677e-07
40,1.7090122e-07
41,1.5986867e-07
42,1.4423592e-07
43,1.2433357e-07
44,1.082782e-07
45,1.0464187e-07
46,9.4833681e-08
47,8.9655579e-08
48,7.8441974e-08
49,7.117438e-08
50,5.7447951e-08
51,5.168535e-08
52,4.350035e-08
53,3.9421172e-08
54,3.4259794e-08
55,3.1767029e-08
56,2.658785e-08
57,2.5790901e-08
58,2.1001106e-08
59,1.484105e-08
60,1.2985917e-08
61,1.0902737e-08
62,1.0068035e-08
63,9.5954471e-09
64,7.5500216e-09
65,6.6616066e-09
66,5.9850594e-09
67,5.4109268e-09
68,4.5443953e-09
69,4.2233916e-09
70,3.8945587e-09
71,3.6288868e-09
72,3.4946506e-09
73,3.0743363e-09
74,2.6978838e-09
75,2.4267176e-09
76,2.131603e-09
77,2.0228774e-09
78,1.7684881e-09
79,1.5036982e-09
80,1.4537626e-09
81,1.2769011e-09
82,1.2117105e-09
83,1.0232232e-09
84,8.7055716e-10
85,7.9427301e-10
86,7.6370241e-10
87,6.5892454e-10
88,6.1378857e-10
89,5.5143578e-10
90,4.845598e-10
91,3.8960094e-10
92,3.7835052e-10
93,3.3677598e-10
94,3.0436753e-10
95,2.7399432e-10
96,2.6026282e-10
97,2.2321848e-10
98,2.1442332e-10
99,1.8931437e-10
100,1.7866498e-10
101,1.6394863e-10
102,1.5234842e-10
103,1.4398456e-10
104,1.1991042e-10
105,1.1725814e-10
106,1.029266e-10
107,9.1689494e-11
108,7.9909806e-11
109,7.3965053e-11
110,6.7500315e-11
111,6.3878691e-11
112,5.5292772e-11
113,5.0136585e-11
114,4.7232355e-11
115,4.2001851e-11
116,3.8341957e-11
117,3.2142008e-11
118,2.9969018e-11
119,2.8797706e-11
120,2.6024099e-11
121,2.4355556e-11
122,2.3189334e-11
123,2.2103263e-11
124,2.0168219e-11
125,1.9382667e-11
126,1.6405651e-11
127,1.4620268e-11
128,1.3849882e-11
129,1.3643725e-11
130,1.2742904e-11
131,1.1290842e-11
