step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
25,0.99990908,0.33211035,9.8945856e+11,1.1029738,187
38,0.99928616,0.13786231,9.7771718e+11,1.1028922,185
57,0.99988258,0.11931039,9.8939319e+11,1.0522109,170
85,0.99980065,0.33452246,9.3808838e+11,1.1116021,179
129,0.99983334,0.27754967,9.50552e+11,1.1229471,185
194,0.99998633,0.2112326,9.5134936e+11,1.1610691,179
292,0.99844227,0.12452641,9.8459276e+11,1.197893,175
441,0.99611067,0.10385071,9.608787e+11,1.202726,172
664,0.99958792,0.13393986,9.5316733e+11,1.2560852,167
1000,0.99971628,0.14941746,9.9031641e+11,1.2590306,154
1800,0.99736698,0.041092644,9.3668912e+11,1.2369804,156
