step,E_raw,E_clip,stderr,var
25,3.0035342,3.0221151,0.0039788415,0.015131108
38,2.9918719,3.0099815,0.0042752145,0.016595351
57,3.0079708,3.0252674,0.001659957,0.0040011845
85,3.0231598,3.0270772,0.0040644752,0.014123466
129,3.0079511,3.0165761,0.001017003,0.0015098509
194,3.0013909,3.0120822,0.00087294108,0.00075108529
292,2.9994648,2.9999372,0.00033782819,0.00014411578
441,3.0032087,2.9969112,0.00016916084,3.6561815e-05
664,3.0017324,2.9949328,0.00025989897,6.0065841e-05
1000,3.0036408,2.9923849,0.00019374935,4.7322613e-05
1800,3.0001274,3.0001744,2.4403195e-05,5.0526771e-06
