r,J_learned,J_learned_std,count,J_exact
0.29519571,0.19068298,0.075644643,205,-0.68939987
0.48956919,0.33331823,0.027746572,205,-0.54957472
0.60250483,0.40676145,0.01886807,205,-0.47649376
0.69151036,0.46097257,0.014028996,205,-0.42243981
0.77907227,0.51147783,0.012870418,204,-0.3719696
0.84916665,0.5501588,0.01038751,205,-0.33332657
0.91208588,0.58362772,0.0096061677,205,-0.29986692
0.97220029,0.61458108,0.0094428106,205,-0.26891181
1.0307938,0.64388392,0.0075773419,204,-0.23963492
1.0828709,0.66922757,0.0075883128,205,-0.21431446
1.1386724,0.69569098,0.0075915412,205,-0.1878764
1.1901727,0.7195055,0.0064022373,205,-0.16408124
1.2378561,0.74107129,0.0058778178,205,-0.14254334
1.2821278,0.76066739,0.0057637419,204,-0.12295339
1.3304999,0.78166377,0.0058615333,205,-0.10197884
1.3763546,0.80116542,0.0051343708,205,-0.082494032
1.4199371,0.81933812,0.0057317923,205,-0.064320126
1.4642738,0.83750574,0.0046162629,204,-0.046164481
1.5103276,0.85600064,0.0058038729,205,-0.027648374
1.5595441,0.87542895,0.0050458716,205,-0.0082325102
1.601861,0.89181327,0.0048127306,205,0.0081652944
1.6459256,0.90860145,0.0049695208,205,0.02495933
1.6920654,0.92587059,0.0054481661,204,0.042247047
1.7413944,0.9440296,0.0053978529,205,0.060405054
1.7882001,0.96093755,0.0048377373,205,0.077334593
1.837174,0.97833292,0.0058204964,205,0.09474686
1.8903825,0.99692202,0.0046666264,204,0.11332719
1.9426672,1.0148426,0.0059664327,205,0.13125471
1.9992086,1.0338841,0.0050028839,205,0.15028679
2.054152,1.0520411,0.0058135945,205,0.16844032
2.1215878,1.0738973,0.006252837,205,0.19028013
2.1914345,1.0960386,0.0061997878,204,0.21240885
2.2608274,1.117573,0.0062712355,205,0.2339193
2.3406002,1.1417686,0.0076275326,205,0.25808882
2.4354542,1.1697726,0.0094342112,205,0.28608749
2.5505109,1.2027496,0.0087201424,204,0.31902982
2.6612525,1.233466,0.010920838,205,0.34974361
2.812366,1.2738929,0.013824864,205,0.39018832
3.0367363,1.3309873,0.018857258,205,0.44737483
3.5073366,1.4399629,0.066942769,205,0.55764473
