mode,mu,sr_weight,plain_weight,residual_power
1,4204.0546,1,1,7.499368e-05
2,177.15556,1,0.042139215,0.00015947905
3,154.51534,1,0.036753886,1.4180437e-06
4,100.32048,1,0.023862792,1.6096372e-05
5,31.377078,1,0.0074635278,0.003921456
6,7.0221303,1,0.0016703233,6.4326054e-07
7,3.3535373,1,0.0007976912,0.010797706
8,2.031935,1,0.00048332746,0.00030341398
9,1.4790774,1,0.00035182165,1.6151844e-06
10,0.92271146,1,0.00021948132,0.0048304164
11,0.78725924,1,0.0001872619,9.954929e-05
12,0.39252124,1,9.3367305e-05,1.1669005e-05
13,0.24010914,1,5.7113706e-05,0.0026870073
14,0.2105899,1,5.0092096e-05,0.0003476722
15,0.19193715,1,4.5655247e-05,2.0826676e-05
16,0.15037544,1,3.5769145e-05,0.00099033249
17,0.09033993,1,2.1488762e-05,2.8274769e-05
18,0.040929171,1,9.7356422e-06,0.004521957
19,0.033345891,1,7.9318407e-06,0.00016579229
20,0.028840801,1,6.8602347e-06,0.0025464653
21,0.025477247,1,6.0601608e-06,2.3785396e-05
22,0.019640251,1,4.6717403e-06,2.8189581e-07
23,0.017606376,1,4.1879514e-06,0.00049233217
24,0.015726393,1,3.740768e-06,3.5387392e-05
25,0.0042545983,1,1.0120226e-06,0.0011514556
26,0.0038012947,1,9.0419729e-07,1.4834273e-05
27,0.0035866268,1,8.5313518e-07,0.00055711255
28,0.0027523964,1,6.5470045e-07,0.00025052277
29,0.0021559112,1,5.1281714e-07,0.00014380643
30,0.0019261079,1,4.5815484e-07,0.0010509089
31,0.0013950128,1,3.3182557e-07,0.0003397617
32,0.0012624737,1,3.0029907e-07,0.001156683
33,0.00081530965,1,1.9393413e-07,0.0066797273
34,0.00070464379,1,1.6761053e-07,7.3744882e-05
35,0.00059631198,1,1.4184211e-07,0.0015386993
36,0.000544474,1,1.2951164e-07,1.9203252e-05
37,0.00043266518,1,1.0291617e-07,1.3249838e-06
38,0.00040507212,1,9.6352727e-08,7.6343499e-06
39,0.00036351338,1,8.6467332e-08,0.00080023532
40,0.00035000571,1,8.3254321e-08,0.0021459383
41,0.00032741103,1,7.7879825e-08,4.7925968e-07
42,0.00029539516,1,7.026435e-08,0.0012548032
43,0.00025463515,1,6.0568945e-08,0.0058069861
44,0.00022175375,1,5.274759e-08,0.00011869809
45,0.00021430656,1,5.097616e-08,1.2176105e-05
46,0.00019421938,1,4.6198111e-08,0.00037732436
47,0.00018361463,1,4.3675605e-08,0.00024285159
48,0.00016064916,1,3.8212911e-08,0.00025590597
49,0.00014576513,1,3.4672511e-08,0.00359617
50,0.0001176534,1,2.7985698e-08,0.00063482192
51,0.0001058516,1,2.5178454e-08,3.7424274e-06
52,8.9088718e-05,1,2.1191142e-08,0.00034780488
53,8.0734561e-05,1,1.9203976e-08,0.00010086712
