r,J_learned,J_learned_std,count
0.44297436,7.7332061,0.82446567,1536
0.72793446,7.8825764,0.83493946,1536
0.89475877,7.9391332,0.83128488,1536
1.0191794,7.9488673,0.83049138,1536
1.1266367,8.0193382,0.84168195,1536
1.2238805,8.0619226,0.81924222,1536
1.3109255,8.0499556,0.83403823,1536
1.3916711,8.0704049,0.86455032,1536
1.4663228,8.0909054,0.83526668,1536
1.5396394,8.1005342,0.85250363,1536
1.609326,8.1174863,0.85244216,1536
1.6749535,8.1054054,0.85090357,1536
1.7427703,8.1096556,0.80507948,1536
1.8079007,8.1073261,0.86430094,1536
1.8714428,8.1308337,0.82081029,1536
1.9336637,8.1156295,0.8366503,1536
1.9960479,8.1277296,0.83979413,1536
2.0543492,8.1517492,0.81605488,1536
2.1141953,8.1732238,0.82404111,1536
2.1748289,8.1640963,0.81330912,1536
2.235465,8.1936715,0.83312885,1536
2.2959767,8.2296558,0.7884307,1536
2.3580093,8.2058628,0.82145568,1536
2.4210714,8.2608585,0.79106337,1536
2.486643,8.3319535,0.80134477,1536
2.5529392,8.2682707,0.80549721,1536
2.6221669,8.2907186,0.78826511,1536
2.6949161,8.3265664,0.77008915,1536
2.7703998,8.3667933,0.76787481,1536
2.8480533,8.372539,0.75444955,1536
2.9319708,8.4054098,0.76136142,1536
3.0164687,8.4435132,0.74482022,1536
3.1071097,8.5038963,0.72891891,1536
3.2027411,8.508882,0.72515119,1536
3.3140843,8.5376474,0.7232457,1536
3.4390169,8.6365037,0.71009445,1536
3.5852268,8.6640826,0.70212188,1536
3.7697722,8.7803594,0.68230964,1536
4.0111754,8.8774379,0.65517733,1536
4.5540335,9.176929,0.64176603,1536
