mode,mu,sr_weight,plain_weight,residual_power
1,61229.883,1,1,0.00049390155
2,5929.8074,1,0.09684499,0.15000494
3,2898.8625,1,0.047343916,0.021779366
4,2351.7604,1,0.038408704,0.098011444
5,2053.2814,1,0.033533975,0.086633563
6,1816.8938,1,0.029673319,0.016842131
7,1686.241,1,0.027539511,0.028131833
8,1377.1847,1,0.022492036,0.0047123218
9,1007.4014,1,0.016452773,0.11389328
10,859.12925,1,0.014031208,0.019401125
11,676.92087,1,0.0110554,0.02840014
12,398.71039,1,0.0065116961,0.0070291911
13,311.66769,1,0.0050901239,0.019145447
14,274.92916,1,0.0044901141,0.079703666
15,221.0718,1,0.0036105213,0.002530172
16,204.29771,1,0.0033365687,0.02451218
17,180.02976,1,0.0029402271,0.005449798
18,165.48892,1,0.0027027475,0.13033153
19,149.06405,1,0.0024344984,0.022579056
20,140.78829,1,0.0022993396,0.24377425
21,122.74998,1,0.0020047398,0.038757381
22,118.0331,1,0.0019277042,0.040226389
23,114.15637,1,0.0018643899,0.024279056
24,101.16064,1,0.001652145,0.054465953
25,98.064294,1,0.0016015757,0.062044973
26,87.686151,1,0.001432081,0.028581148
27,77.70096,1,0.0012690039,0.0044801455
28,71.974228,1,0.0011754755,0.1341037
29,60.455098,1,0.0009873463,0.0027512817
30,56.556747,1,0.00092367883,0.56634839
31,52.885902,1,0.00086372698,0.026824616
32,51.853194,1,0.0008468609,0.056447695
33,50.891318,1,0.00083115165,0.049130755
34,48.045644,1,0.0007846764,0.010171542
35,44.486963,1,0.00072655639,0.14268384
36,42.451949,1,0.00069332076,0.0080314249
37,38.82348,1,0.00063406098,0.085437755
38,37.663225,1,0.00061511182,0.030752116
39,34.986612,1,0.00057139766,0.28292277
40,33.363428,1,0.00054488799,0.027850241
41,31.575544,1,0.00051568846,0.24747341
42,30.748561,1,0.00050218226,0.06902919
43,29.236209,1,0.00047748269,0.49926089
44,28.674381,1,0.00046830697,0.020496014
45,26.595159,1,0.00043434933,0.00070775956
46,26.004929,1,0.00042470976,0.12184885
47,25.104814,1,0.00041000918,0.21822447
48,24.000552,1,0.00039197449,0.04408079
49,21.496406,1,0.00035107704,0.092797358
50,20.08359,1,0.00032800308,0.35120723
51,19.306505,1,0.0003153118,0.0092016115
52,18.585276,1,0.00030353276,0.36837825
53,17.631886,1,0.0002879621,0.1510317
