r,top0,top1,top2,bot0,bot1,bot2
1.3530941,-0.010749115,0.0058603786,0.0043127176,-0.00055327765,0.0017216949,-0.002036438
1.9411738,-0.0097948466,-0.0028098286,-0.01042884,0.0035697358,-0.00070407029,-0.0017270994
2.226964,-0.008728814,0.010482603,-0.00026538252,-0.004255219,0.0023950137,-0.0011534549
2.4934435,-0.010944916,-0.00057153815,-3.5632547e-06,0.0009065841,-0.0012658053,0.0050978425
2.6522817,-0.018138361,0.0071379015,0.00078930985,-0.0039637732,0.002831164,-0.0043023127
2.7980986,-0.014409999,0.008645362,0.0023727502,0.0016827011,-0.0056050648,0.0094523296
2.9451081,-0.011969917,0.002570679,-0.0051174554,0.0065403831,-0.0017823922,-0.00041670477
3.0503338,-0.0097791473,0.0059993818,-0.0013545666,0.0048172744,0.00076282786,-0.003722472
3.1333114,-0.012200824,0.0041849786,-0.0014323874,-0.0085420489,-0.0025542226,-0.0032971997
3.2285869,-0.0092102657,0.0090768257,0.00078565012,-0.007524166,0.0033746432,-0.0075710002
3.3108128,-0.010950184,0.0023341646,-0.0011406722,0.0035543062,0.0018132625,0.0034695963
3.4134973,-0.0034511884,0.0088028126,-0.010033712,0.0028493594,-0.002627885,-0.0011598834
3.5099703,-0.003962414,0.0037295685,0.0015900631,0.0013194537,0.0013475576,-0.0031016147
3.5929123,-0.0095824144,-0.0003603458,-0.010071908,0.0045534228,0.0042311878,-0.001045835
3.6979919,0.0073766233,0.0047438322,0.0039794391,0.0045080668,-0.0020800318,0.0025456338
3.7935897,-0.0061029082,-0.0049099755,-0.00081598052,-0.0063516171,-0.0018898964,-0.0011445953
3.872934,-0.003135102,-0.0028313354,-0.0025651511,0.005839796,0.0011099624,0.0033228775
3.9504189,-0.0054755244,-0.0072116716,0.0038717901,-0.0069035042,0.00050314206,-0.0028119111
4.0442559,-0.0012954982,-0.003614545,-0.0028766223,-0.0025030277,-0.0018263238,0.013197596
4.13501,0.0014182518,-0.0043270666,0.0047263252,-0.0047522764,0.0032874463,-0.0055953556
4.2441382,0.0052180222,0.0055116453,0.00052291532,-0.0076272937,0.0015482149,0.00066939546
4.3744669,0.001250399,-0.0015972686,-0.0017629653,-0.00042916625,-0.0059336364,0.003625572
4.4906865,0.0023528006,-0.0017344751,0.0039456175,0.0097743118,0.0029566837,-0.010906812
4.6135364,0.008745752,-0.0037084674,-0.0049096391,0.0031188179,-0.0093925426,0.0035829276
4.7387405,0.010534261,-0.013265771,-5.3223375e-05,-0.0021163033,0.0071459275,0.0028567647
4.8648348,0.014451867,-0.0046318553,0.0067360275,0.011247786,0.0021009052,0.0048840282
5.0345252,0.020786015,-0.003970147,0.002485264,0.005153609,0.0063906281,-0.0086750028
5.2317645,0.023062392,-0.0036990006,0.00078952407,-0.0018838056,-0.0086285844,-0.00017940533
5.5203603,0.026432353,-0.010058014,0.0083902466,-0.0056381626,0.00042546535,0.0031677697
6.0473205,0.037630661,-0.0098910381,0.0072135895,-0.0060771597,0.00018964635,0.0028296985
