r,J_total,u_cusp,f_net
0.25994122,9.734368,3.646123,6.0882451
0.46888535,10.448107,3.5260526,6.9220541
0.57918451,10.255648,3.644393,6.6112548
0.66791586,10.594982,3.5719933,7.0229884
0.73076658,10.713665,3.5732625,7.1404021
0.78405132,10.704461,3.6074704,7.0969905
0.8422399,10.510646,3.7302585,6.7803873
0.89234403,10.731134,3.6583488,7.072785
0.93585131,10.797999,3.6618216,7.1361773
0.97919109,10.986876,3.5730853,7.4137908
1.0120591,10.650589,3.7621213,6.8884675
1.0549579,10.817213,3.6520024,7.1652103
1.0997956,11.03439,3.6213017,7.4130883
1.1454973,11.131168,3.572363,7.5588052
1.17988,11.014545,3.6323869,7.3821584
1.2154888,10.876538,3.716201,7.1603367
1.2511107,11.09164,3.6224956,7.469144
1.2888438,11.112866,3.6466302,7.4662357
1.3234261,11.481137,3.4905315,7.9906057
1.3662336,11.213862,3.6227138,7.5911483
1.4127017,11.430365,3.513134,7.917231
1.4700971,11.339982,3.597046,7.7429361
1.5113531,11.290427,3.5903217,7.7001053
1.5567957,11.64627,3.4466097,8.1996603
1.6088226,11.708075,3.4223381,8.2857372
1.6645386,11.876593,3.3546666,8.5219267
1.7340281,11.825438,3.3954934,8.4299446
1.7902949,12.019566,3.3164975,8.7030682
1.9055299,12.267354,3.2253955,9.041958
2.1382699,12.765204,3.016501,9.7487026
