r,delta_logpsi
0.25994122,0.25249823
0.46888535,0.30413308
0.57918451,0.28607489
0.66791586,0.30753252
0.73076658,0.31696677
0.78405132,0.31378045
0.8422399,0.29797349
0.89234403,0.31713013
0.93585131,0.32032743
0.97919109,0.33304099
1.0120591,0.3030334
1.0549579,0.31912966
1.0997956,0.33484459
1.1454973,0.34568592
1.17988,0.33768392
1.2154888,0.32027914
1.2511107,0.33791758
1.2888438,0.33996484
1.3234261,0.36959133
1.3662336,0.34836023
1.4127017,0.3683366
1.4700971,0.35520905
1.5113531,0.35257557
1.5567957,0.38419956
1.6088226,0.38940721
1.6645386,0.40628241
1.7340281,0.40064605
1.7902949,0.41570244
1.9055299,0.44009932
2.1382699,0.48570755
