r,top0,top1,top2,bot0,bot1,bot2
0.25994122,0.030766113,-0.0035629047,-0.0041993589,-0.001889381,-0.00024346448,0.00022333108
0.46888535,0.013967736,-0.0039650808,0.0064435301,0.0042581383,-0.001673948,-0.0034393583
0.57918451,0.019850085,-0.0085406069,0.0028159932,0.00089615713,0.0020604276,0.0007959982
0.66791586,0.012836359,0.003372459,-0.0011487651,0.0078691371,-0.0022758203,0.0045518498
0.73076658,0.0097905976,-0.0016920193,-0.0035381018,-0.011212626,0.0055820968,0.0032724753
0.78405132,0.010811821,-0.0013407151,0.0030085959,-0.0025097842,-0.00058086814,-0.0096218034
0.8422399,0.015953106,-0.0040667398,-0.0018280582,-0.00030955021,0.0015454061,0.0069413107
0.89234403,0.0096858102,-0.0040967374,-0.0036842995,-0.0085778771,0.0004776109,0.0045072111
0.93585131,0.0086602245,-0.002010768,-0.008173081,-0.003267893,-0.006277913,-0.011411949
0.97919109,0.0044770255,-0.0035925846,0.0080654475,0.0089841385,0.0026511296,-0.0027093202
1.0120591,0.014281449,0.0032389937,0.0035692969,0.00061615483,0.0051311945,0.0019754305
1.0549579,0.0090509039,0.0028193773,0.00033047215,-0.00045060328,-0.0062586747,0.0040070046
1.0997956,0.0038949966,-0.0033124354,-0.0072927959,0.0059706588,-0.00040072917,-0.0095244834
1.1454973,0.00035978196,0.0017438186,-0.0068978267,0.0006069057,-0.0022888319,0.0059315551
1.17988,0.002995167,-0.014700442,0.0036928638,-3.3829745e-06,-0.0032807206,-0.0017134769
1.2154888,0.0086628554,-0.0038892451,-0.00094791344,0.0086383369,0.0059902095,-0.0048976027
1.2511107,0.0028830876,0.0051055405,0.0017752192,-0.0047954435,-0.0065642533,-0.0069334302
1.2888438,0.0022082759,-0.0032706731,-0.0019076089,-0.0065974169,-0.0030589679,0.0064291502
1.3234261,-0.0074130784,0.0047433793,0.0040078581,-0.0002627657,0.0015834796,0.0053448984
1.3662336,-0.00053193879,0.001856686,-0.0055245681,0.014705777,0.0039695009,-0.010446099
1.4127017,-0.0070248544,-0.0091647468,0.0040365565,-0.011977595,-0.0030688858,0.0064682668
1.4700971,-0.0027446441,0.0044226915,0.00081036677,-0.014649766,0.00054841573,0.0054869262
1.5113531,-0.0018888599,0.0081847063,-0.0078666184,0.0058824834,-0.0063398202,0.0040129517
1.5567957,-0.012211386,0.00576349,0.0033199175,-0.0030248998,0.0072690348,0.012154989
1.6088226,-0.013894543,-0.0027461501,0.0085182871,0.0098397115,0.0073080613,-0.01101341
1.6645386,-0.019412227,0.0030091993,-0.0016248685,0.0042105842,0.001511583,0.0019231295
1.7340281,-0.017581529,0.0018177495,-0.0050355277,0.00049051993,0.0064551747,0.0016830511
1.7902949,-0.022462436,0.012691851,-0.00020376589,-0.0012791907,-0.0045276849,0.0033438359
1.9055299,-0.030432252,0.004574665,0.0018874487,0.0023417957,-0.0086147911,-0.0073247413
2.1382699,-0.045322933,0.0066895683,0.0072770819,-0.0039950836,0.0032237325,-0.00026481333
