r,delta_sr,delta_plain,residual
0.25994122,-0.038417534,0.18392677,-0.038417534
0.46888535,0.012778803,0.091525284,0.012778803
0.57918451,0.028211472,0.13154997,0.028211472
0.66791586,0.019401257,0.081893123,0.019401257
0.73076658,0.030177309,0.045241691,0.030177309
0.78405132,0.032430926,0.075196613,0.032430926
0.8422399,0.019131352,0.077125235,0.019131352
0.89234403,-0.0071858518,0.037138883,-0.0071858518
0.93585131,-0.010135588,0.0035238211,-0.010135588
0.97919109,0.019801763,0.051497,0.019801763
1.0120591,-0.0090804281,0.10457037,-0.0090804281
1.0549579,0.020250966,0.070698534,0.020250966
1.0997956,0.022447149,-0.003503937,0.022447149
1.1454973,-0.0023334464,-0.022461598,-0.0023334464
1.17988,-0.033691425,0.02292174,-0.033691425
1.2154888,-0.052594605,0.077212961,-0.052594605
1.2511107,-0.010995239,0.036296868,-0.010995239
1.2888438,-0.0035033885,0.029169452,-0.0035033884
1.3234261,0.0020726176,-0.040887971,0.0020726176
1.3662336,0.014402379,-0.0039168274,0.014402379
1.4127017,-0.0060202979,-0.047205039,-0.0060202979
1.4700971,-0.01611034,0.010850608,-0.01611034
1.5113531,-0.020889915,0.013031269,-0.020889915
1.5567957,-0.0003283114,-0.062478035,-0.00032831137
1.6088226,0.005193474,-0.060489711,0.0051934741
1.6645386,0.0039237651,-0.12864023,0.0039237651
1.7340281,0.018652367,-0.084722836,0.018652367
1.7902949,-0.0045746557,-0.14710718,-0.0045746557
1.9055299,6.3119812e-05,-0.20636647,6.3119835e-05
2.1382699,-0.030603523,-0.33289613,-0.030603523
