r,delta_sr,delta_plain,residual
0.28438497,0.047892535,-0.083931957,0.047892535
0.48596688,0.025716061,-0.063777043,0.025716061
0.5865144,-0.0022274534,-0.12331915,-0.0022274534
0.67288527,0.027002092,-0.065292876,0.027002092
0.72018531,-0.014454901,-0.09890883,-0.014454901
0.78092193,-0.0086722134,-0.12092945,-0.0086722133
0.83587156,-0.0024356303,-0.092581065,-0.0024356303
0.88540438,-0.0021892613,-0.083431038,-0.0021892612
0.93314086,-0.015841156,-0.1004479,-0.015841156
0.98837848,-0.0075436454,-0.011499512,-0.0075436454
1.0332763,-0.00803085,-0.027096235,-0.00803085
1.0730516,-0.00070595272,-0.050674756,-0.00070595271
1.1086352,-0.0087710314,-0.051058611,-0.0087710313
1.1430013,-0.002842954,-0.10468571,-0.002842954
1.183706,-0.0072495468,-0.022606872,-0.0072495468
1.2271163,-0.0076099244,-0.021788719,-0.0076099244
1.2750573,0.023926104,-0.010838542,0.023926104
1.315108,0.0082024228,-0.017014565,0.0082024229
1.3522346,-0.015144145,-0.048882495,-0.015144145
1.3850848,0.0015552301,0.085798411,0.0015552301
1.4272198,-0.012760402,0.017321641,-0.012760402
1.4647234,0.0047517172,0.1195468,0.0047517172
1.5139131,-0.015816213,0.07014153,-0.015816213
1.5661572,0.017083602,0.075181197,0.017083602
1.6106318,0.0033584976,0.021564549,0.0033584976
1.6598612,-0.016461302,0.10753778,-0.016461302
1.7228756,-0.0080377066,0.10080404,-0.0080377066
1.8202326,-0.007090486,0.15562026,-0.007090486
1.9333094,-0.0062555204,0.19565307,-0.0062555204
2.1998678,0.0095733665,0.24514206,0.0095733665
