r,J_total,u_cusp,f_net
0.17416262,5.9033512,2.5631498,3.3402013
0.26264335,5.8626969,2.6927009,3.1699959
0.32423192,6.2248258,2.6152895,3.6095362
0.37773095,6.1183557,2.6425261,3.4758296
0.42458716,6.1060667,2.7162586,3.3898082
0.4727122,6.3160275,2.6581293,3.6578982
0.51329784,6.3317277,2.6980001,3.6337276
0.54938849,6.2416447,2.781048,3.4605967
0.58266,6.3845661,2.7200975,3.6644686
0.61199095,6.4492396,2.7060689,3.7431707
0.63831861,6.5753553,2.6378194,3.937536
0.65881159,6.3929115,2.7324092,3.6605023
0.68975547,6.2926375,2.8146937,3.4779438
0.71143944,6.6471863,2.6625225,3.9846639
0.73538911,6.7213187,2.6470131,4.0743056
0.75828036,6.6789107,2.6723245,4.0065863
0.78597522,6.6327135,2.7189147,3.9137988
0.80648146,6.6901602,2.6810179,4.0091422
0.82720797,6.5066804,2.7918262,3.7148542
0.8614234,6.7138691,2.7069516,4.0069175
0.89994244,6.8471795,2.6621541,4.1850254
0.93470911,6.9410997,2.6237594,4.3173403
0.9610033,6.9293953,2.632486,4.2969093
0.98782806,6.8543269,2.6847128,4.1696141
1.0206012,7.0323577,2.5991021,4.4332557
1.0561546,7.1203499,2.6136869,4.506663
1.1000136,7.0840602,2.6283649,4.4556953
1.1705992,7.2902715,2.539093,4.7511785
1.2795359,7.6110117,2.4120184,5.1989932
1.4515467,7.9847865,2.2627991,5.7219874
