r,delta_logpsi
0.17416262,0.22629501
0.26264335,0.21188878
0.32423192,0.24194742
0.37773095,0.23531176
0.42458716,0.22894631
0.4727122,0.24674051
0.51329784,0.24633763
0.54938849,0.23140097
0.58266,0.25013672
0.61199095,0.25128337
0.63831861,0.26634377
0.65881159,0.24716352
0.68975547,0.23479371
0.71143944,0.27123442
0.73538911,0.27647833
0.75828036,0.27347985
0.78597522,0.2640984
0.80648146,0.2710574
0.82720797,0.24984534
0.8614234,0.27295546
0.89994244,0.28675652
0.93470911,0.29479533
0.9610033,0.29374505
0.98782806,0.28451188
1.0206012,0.30069534
1.0561546,0.30899747
1.1000136,0.30414316
1.1705992,0.3245835
1.2795359,0.36259594
1.4515467,0.39929164
