r,top0,top1,top2,bot0,bot1,bot2
0.17416262,-0.017480687,0.0029553212,0.013633733,-0.0029461618,-0.0025409649,0.00089949091
0.26264335,-0.022963078,0.00077125503,-0.0020478918,0.0010567509,0.00076498058,-0.0018322642
0.32423192,-0.011489767,0.0036362353,0.00086075756,0.0010448461,0.0013696954,-0.010078903
0.37773095,-0.014031887,-0.00073605689,-0.0043513189,-0.0014388989,-0.0024679852,0.0044670052
0.42458716,-0.016451247,-0.00043055572,-0.0066086089,0.0055275078,-0.00059299134,0.0026626926
0.4727122,-0.0096716676,-0.0013819804,0.0060315663,-0.0032627613,0.0022439312,0.011718329
0.51329784,-0.0098033045,0.0012096054,-0.00045811682,0.0027341546,0.0060694754,0.00870413
0.54938849,-0.015501974,0.0042942642,0.0024485174,0.0030789471,0.0012939913,-0.00074902727
0.58266,-0.0083593625,0.0012652235,-0.0077169122,0.0010001458,-0.0044929685,-0.0026117681
0.61199095,-0.0079192678,-0.0086767986,-0.009084347,-0.0062341366,0.0030758388,-0.0068264847
0.63831861,-0.002174769,-0.0011220886,-0.00021903759,0.00056223248,-0.0014588516,-0.0044413419
0.65881159,-0.00950575,0.0089204721,-0.0033992989,-0.0066904445,-0.011943559,-0.0011256643
0.68975547,-0.014205854,-0.0042342917,0.0018411255,0.002371433,0.0076560576,-0.0040844798
0.71143944,-0.00030101713,-0.0083256781,-0.0060452671,0.0032436995,-0.00080083289,-0.0065565133
0.73538911,0.0017018126,-0.0053770278,-0.0044807257,-0.0043863229,0.0020000154,-0.011644471
0.75828036,0.00054951738,-0.0094075118,-0.0012759364,-0.0088127423,0.0037614236,0.00098260284
0.78597522,-0.0030277741,-0.0047724792,0.0054652072,0.0021548036,-0.0070843511,-0.0005076061
0.80648146,-0.00036973688,0.0032151388,-0.0031468504,-0.0011398035,-0.00069423067,0.0073830868
0.82720797,-0.0084638656,0.00066903161,-0.0011265193,0.0047311362,0.0051962195,0.010321438
0.8614234,0.00036540601,0.009164256,0.0096072676,0.0058454721,-0.0024285506,0.013133233
0.89994244,0.0056311812,-0.0005869948,-0.0014908644,-0.0011486922,-0.0024408018,0.0047430612
0.93470911,0.0087013465,0.0024504692,0.00028347253,0.0037620821,-0.0022120773,-0.00066193596
0.9610033,0.0082948285,0.0043698064,-0.006565711,-0.0011798298,-0.0036931147,-0.0049724746
0.98782806,0.0047699465,-0.0004402079,-0.00090150113,0.0041552686,0.011064431,-0.0062849833
1.0206012,0.010957873,0.001776814,0.0086604737,-0.011180284,0.0041056193,-0.010306701
1.0561546,0.014139714,-0.00080001867,0.00057968354,-7.4653199e-05,-0.012085256,0.00071857842
1.1000136,0.012279036,0.00071966086,0.0027308031,0.0064815658,0.0097910514,0.0062363178
1.1705992,0.020077347,0.0021280708,-0.0041726991,-0.0023663446,-0.0015366998,-0.00034595378
1.2795359,0.034597184,0.0065085982,0.0044960285,0.0017473218,-0.0031899995,-0.0011917178
1.4515467,0.048637773,-0.0075763527,0.0059279194,0.0014256685,0.00141825,0.0021536653
