r,delta_sr,delta_plain,residual
0.17416262,-0.058545008,-0.15172861,-0.05825865
0.26264335,0.070878974,-0.14947207,0.071132348
0.32423192,0.033713599,-0.098964349,0.033135692
0.37773095,0.0040208863,-0.11188077,0.0027471757
0.42458716,-0.016219128,-0.11527638,-0.015913909
0.4727122,-0.0063344968,-0.084895434,-0.005339038
0.51329784,0.00037589913,-0.057667633,-0.00011784703
0.54938849,-0.018479074,-0.10774235,-0.019147774
0.58266,-0.001348678,-0.05246921,-0.00035491659
0.61199095,-0.017697656,-0.073086651,-0.016602969
0.63831861,0.014183686,-0.016587111,0.01444293
0.65881159,-0.0045513104,-0.089677836,-0.0045207647
0.68975547,0.0068035143,-0.10322477,0.0062041396
0.71143944,-0.014214091,0.00046722826,-0.012551764
0.73538911,-0.0086689179,0.014646333,-0.0076056477
0.75828036,-0.010987992,0.0027721552,-0.012051717
0.78597522,-0.00836128,-0.02097354,-0.0081078134
0.80648146,0.0034157773,0.0056972624,0.00095383779
0.82720797,0.0075518854,-0.070178969,0.007543372
0.8614234,-0.010136188,0.020796785,-0.0098027826
0.89994244,-0.0021421404,0.056069555,-0.0023347891
0.93470911,0.0062600504,0.072446615,0.0047383141
0.9610033,0.0084310409,0.066733561,0.0087786569
0.98782806,0.010117747,0.047527307,0.011972565
1.0206012,-0.0022627685,0.066610899,-0.001374382
1.0561546,-0.0047253305,0.11414073,-0.0024334263
1.1000136,0.010103186,0.098285436,0.0075735306
1.1705992,-0.001752929,0.14894288,-0.0031853752
1.2795359,0.0055141085,0.25116372,0.0047229353
1.4515467,0.0062408254,0.33108868,0.0069121398
