r,delta_logpsi
0.1787847,-0.38861693
0.30488556,-0.39656079
0.36001474,-0.38602121
0.40905944,-0.39386976
0.4506626,-0.39157492
0.49298477,-0.37139929
0.52503611,-0.39225607
0.55614935,-0.37988393
0.58699877,-0.39435297
0.61751054,-0.38828975
0.65191368,-0.38859575
0.67586088,-0.38587322
0.69626644,-0.3864595
0.72054048,-0.40388941
0.75183336,-0.39323668
0.77645674,-0.39683871
0.80245824,-0.40197581
0.83169221,-0.40606085
0.86017042,-0.41050447
0.88999559,-0.39768613
0.92107719,-0.41212657
0.948772,-0.41636415
0.98283,-0.42710247
1.0209616,-0.42945137
1.0593473,-0.43157783
1.1000278,-0.42175431
1.1531687,-0.45610093
1.2195605,-0.45152469
1.3018794,-0.46676415
1.467152,-0.48933875
