r,J_total,u_cusp,f_net
0.33809853,0.31778131,0.23284785,0.084933453
0.56990786,0.49354155,0.32149738,0.17204417
0.71878951,0.58795743,0.34981907,0.23813836
0.83470097,0.65542055,0.36209206,0.29332849
0.92739387,0.70619994,0.36675019,0.33944975
1.0074887,0.74792958,0.36773614,0.38019345
1.0775651,0.78325606,0.36676223,0.41649383
1.1466251,0.81673148,0.36425308,0.4524784
1.2012333,0.84234974,0.36132964,0.4810201
1.2549588,0.86699948,0.3577478,0.50925168
1.3240164,0.89775645,0.3522464,0.54551005
1.3734382,0.91928291,0.34778729,0.57149562
1.4301784,0.94327825,0.34216864,0.60110961
1.4873167,0.96692102,0.33609109,0.63082993
1.5481919,0.99145362,0.32916254,0.66229107
1.6222907,1.0205655,0.32030229,0.70026325
1.6798163,1.0425369,0.31312388,0.72941303
1.7356422,1.0635136,0.30596493,0.75754869
1.8026382,1.0879783,0.29718274,0.79079552
1.8723077,1.1129097,0.28789703,0.82501268
1.9337345,1.1344041,0.27963024,0.85477388
2.0074567,1.1595379,0.26966166,0.88987628
2.0899605,1.1869968,0.25851473,0.92848204
2.1801985,1.2161918,0.2464113,0.96978051
2.2678722,1.2437952,0.23480846,1.0089868
2.3804351,1.2781245,0.22023529,1.0578892
2.5069289,1.3153407,0.20439074,1.1109499
2.6456283,1.3546268,0.18777688,1.1668499
2.8511675,1.4099879,0.16488351,1.2451044
3.2731822,1.5139908,0.1256239,1.3883669
