r,delta_logpsi
0.33809853,0.0060659446
0.56990786,0.011741521
0.71878951,0.016615048
0.83470097,0.021033261
0.92739387,0.024971618
1.0074887,0.02863805
1.0775651,0.032032605
1.1466251,0.035529821
1.2012333,0.038399602
1.2549588,0.0412922
1.3240164,0.045123196
1.3734382,0.047925842
1.4301784,0.051174746
1.4873167,0.054489379
1.5481919,0.058078752
1.6222907,0.062480798
1.6798163,0.065928652
1.7356422,0.069252883
1.8026382,0.073244981
1.8723077,0.077414211
1.9337345,0.081034047
2.0074567,0.0853844
2.0899605,0.090179854
2.1801985,0.09532116
2.2678722,0.10022982
2.3804351,0.1063833
2.5069289,0.11308051
2.6456283,0.12010987
2.8511675,0.12999706
3.2731822,0.14802086
