r,top0,top1,top2,bot0,bot1,bot2
0.17015471,-0.018209356,-0.01118022,0.020159374,-0.00085957088,0.0027224987,-0.0010234052
0.28427169,-0.019393159,-0.0069797809,0.017795673,0.0053926345,-0.0028694761,-0.0038008951
0.35739535,-0.015375248,0.000262201,0.023559732,-0.0076833386,-0.0026114275,-0.0016243863
0.40381639,-0.011887556,-0.020528659,0.01844465,0.0042126196,-0.0041182016,0.006713192
0.44783728,-0.010428864,-0.0063627069,0.011070119,-0.0033639817,0.0048643057,-0.00078303299
0.48407016,-0.0051328006,-0.0043281635,0.013603104,0.0073008166,0.0067599448,-0.00046514036
0.51164782,-0.010667917,-0.00082056684,0.0075202908,-0.0040656233,0.00098828602,-6.7713653e-05
0.54361045,-0.010892085,-0.010621241,0.0035329083,0.0053963809,5.6872106e-05,0.0051904679
0.57230044,-0.0073299922,-0.0078380767,0.0070447791,-0.0029390965,-0.0016433907,-0.0060487005
0.59897335,-0.012230676,0.0030999167,0.010526102,-0.0012581216,-0.0027909994,0.0013127139
0.63398823,-0.0087227825,-0.0040745323,0.0016749958,-0.0026794824,-0.0024063876,0.00041866905
0.65977571,-0.0099745389,-0.00343757,0.0024445998,-0.0011361246,0.0051802473,-0.002049433
0.68812512,-0.0077164793,0.0020925958,0.0061725922,-0.0053779218,0.0035348072,0.000767458
0.71317822,-0.0039080684,0.00034776646,0.0089012783,0.0017998475,0.0026666118,0.0042835609
0.73767849,-0.0075391071,0.00345978,0.0088683747,0.011336212,-0.0053352942,0.0040593398
0.7656809,-0.0056226814,0.002221083,0.0027663464,0.0076749065,-0.0068636065,-0.0041328678
0.79418386,-0.0061553227,0.0012017378,-0.0057100996,0.0044456796,0.0044920665,-0.005907382
0.81894238,-0.0068113155,0.00059537831,-0.006626068,-0.0027096794,-0.0019654838,0.0028169375
0.84491063,0.0020462011,-0.0077742497,-0.012016954,-0.00047040831,-0.0020228789,0.0020242996
0.86423724,0.0048077748,-0.0060884041,-0.0086029255,-0.0073863096,0.0061791229,-0.0010677504
0.89629586,0.0053062164,0.0022993646,-0.018564784,0.0013210494,-0.002799248,0.0069208644
0.92933356,0.0052167785,0.0020323951,-0.0036665022,-0.001811406,-0.0014077841,-0.0083366285
0.96780249,0.010066825,0.003928109,-0.011288522,-0.0045213353,0.0010928053,0.0050315767
1.0002959,0.0066179413,0.0040526974,-0.015147568,0.0044431617,0.0054916437,-0.0042003447
1.0343647,0.013765709,0.0062420407,-0.017026864,-0.001943813,-0.0018072515,-0.005098909
1.0695447,0.012475018,0.0078671044,-0.017152051,-0.0015514556,-0.0052288497,0.0006772975
1.1208101,0.013602525,0.017507588,-0.015226146,-0.012196669,-0.0032965902,0.0035925119
1.1885042,0.02560402,0.016765498,-0.011069703,-0.0031649186,0.0011443982,-0.0037018366
1.2898682,0.032465967,0.0077132352,-0.016549417,0.012955844,-0.0030064219,0.00037003671
1.4624046,0.045325915,0.008477386,-0.0053753805,-0.0010633935,0.004927771,0.0038310655
