r,delta_sr,delta_plain,residual
0.17015471,-0.0044660125,-0.080984908,0.0079206111
0.28427169,-0.0066219002,-0.10799727,-0.01635737
0.35739535,0.044605316,-0.087688401,0.048812737
0.40381639,0.027384917,0.003813894,0.025848999
0.44783728,0.0012696765,-0.05023812,0.0028272043
0.48407016,0.02888119,-0.010691106,0.027588627
0.51164782,-0.017449647,-0.073603566,-0.016135017
0.54361045,-0.024635211,-0.052678966,-0.021088567
0.57230044,0.0096211815,-0.025389311,-0.0021643056
0.59897335,0.014843788,-0.092575468,0.009887967
0.63398823,-0.019653455,-0.056210033,-0.015463673
0.65977571,0.022132046,-0.070274612,0.0020518762
0.68812512,-0.018916902,-0.051378835,-0.0094250154
0.71317822,-0.0033129472,-0.016289839,0.0032279687
0.73767849,-0.012802148,-0.055429872,-0.012430883
0.7656809,0.017842059,-0.044383828,0.014513038
0.79418386,-0.0080817978,-0.061825731,-0.0079192241
0.81894238,-0.016884156,-0.066707419,-0.022749559
0.84491063,0.0024467573,0.015675129,0.0090909886
0.86423724,-0.010307635,0.039095468,0.010491815
0.89629586,-0.0070962195,-0.00219757,0.00062073185
0.92933356,0.01596615,0.030549571,0.0066836943
0.96780249,-0.0045527823,0.051358749,-0.0039478169
1.0002959,-0.018015606,0.017225949,-0.021437761
1.0343647,-0.0032689063,0.066286633,-0.0064259188
1.0695447,0.0058196137,0.049805097,0.0064893501
1.1208101,-0.0023039541,0.032918531,-0.008618994
1.1885042,0.0063404702,0.13617926,0.0071799287
1.2898682,-0.011010356,0.21491133,-0.0074873497
1.4624046,-0.006659558,0.34274431,-0.011055327
