r,delta_logpsi
0.16039026,0.38153494
0.28713833,0.3917825
0.3445111,0.37596613
0.38586641,0.3797893
0.43798228,0.39274777
0.47290889,0.39217915
0.49861505,0.40028914
0.52462801,0.37510355
0.56136033,0.39523834
0.58828787,0.37924501
0.61587765,0.40231397
0.64014044,0.39684735
0.6677715,0.4000717
0.70123464,0.40024892
0.73104082,0.39515241
0.7544759,0.41413176
0.77703513,0.41325556
0.80398848,0.39977023
0.83071974,0.41918224
0.8547484,0.42322124
0.8881555,0.40879508
0.91721194,0.42364762
0.94308124,0.41920532
0.97698223,0.42472222
1.0155644,0.43210388
1.0648797,0.44624024
1.1226516,0.44695345
1.188909,0.44972604
1.2634097,0.46223565
1.4727944,0.49838112
