r,top0,top1,top2,bot0,bot1,bot2
0.16039026,-0.01674427,-0.0024825965,-0.007785889,0.0017133571,-0.0016155187,0.00028816184
0.28713833,-0.010993933,0.012087146,-0.0061759478,-0.00087474783,0.004040724,-0.0016845402
0.3445111,-0.019917883,-0.0039553743,0.0057445688,-0.00032090755,-0.0029154454,-0.0011905885
0.38586641,-0.01776936,0.00071528945,0.0096236523,-0.0015691498,-0.00048312464,0.0068049603
0.43798228,-0.010447805,0.0042611781,-0.0035623725,-0.00031584596,-0.0045135392,-0.0020364538
0.47290889,-0.010762096,0.0016728391,-0.0080798196,-0.0019913528,0.0029427923,-0.0055192526
0.49861505,-0.0062307437,-0.0032580332,0.00057509303,0.0021882945,-0.00076140323,0.0052677069
0.52462801,-0.020377975,-0.00029019002,0.00074027246,0.0071468441,0.0019150558,-0.001902746
0.56136033,-0.0090467462,0.0034661304,-0.0040482066,0.0029274151,0.002599476,0.0041855638
0.58828787,-0.018065784,0.0064612608,-0.0048595573,-0.0045739543,0.00066554676,-0.0068042772
0.61587765,-0.0050894873,-0.0090048452,-0.0089814901,-0.0078949875,0.0030721704,0.0033388474
0.64014044,-0.0081761069,0.0040789777,0.0081508143,-0.0026945385,-0.0026828294,0.00023680713
0.6677715,-0.0063442455,-0.0015117975,-0.004639265,-0.003898503,0.0057668122,-0.016971216
0.70123464,-0.0062716041,-0.010213988,0.002858415,0.0035268926,-0.0071736496,0.0035604807
0.73104082,-0.009101655,-0.014129991,-0.00083734545,0.00058461324,-5.378951e-05,0.0059611188
0.7544759,0.0015486173,0.011947309,0.0052751472,0.01286494,-0.0048519156,0.0040671511
0.77703513,0.0010617256,-0.0022974287,0.0020425453,-0.00071128532,0.0042100936,0.0030596121
0.80398848,-0.0065514842,-0.0034828707,0.0025153233,-0.0012653523,-0.00069421902,0.0040271086
0.83071974,0.0043871063,0.0056143146,0.0063737408,-0.004820385,-0.0065716266,0.0016434374
0.8547484,0.006639466,-0.00061004468,-0.002495229,0.0066819683,0.0060186576,0.0096611019
0.8881555,-0.0014633947,-0.0019769196,-0.0038083418,-0.0049309223,0.0001264237,0.0046642233
0.91721194,0.0068913311,-0.0022415804,-0.0042293328,-0.0024886111,0.0040827151,-0.0041389993
0.94308124,0.0043672801,-0.0081055607,0.0020283976,0.00031545156,-0.00077803888,-0.0057794521
0.97698223,0.0074963764,0.006760099,0.0024425363,-0.010735198,-0.006718862,0.0038281111
1.0155644,0.011628691,-0.0014691246,-0.00086735602,0.0031382551,-0.0019557856,-0.0099018618
1.0648797,0.019560235,-0.0031133567,0.0097671713,0.0074505979,0.0045214352,0.0077901966
1.1226516,0.019970156,-0.0015042356,0.0076731363,-0.0045651015,-0.0079377777,-0.0081932951
1.188909,0.021551093,-0.0043675073,-0.0041937962,0.0069989895,0.0068893882,-0.0058374291
1.2634097,0.028571132,0.0091245277,0.0055212845,0.0025221284,0.0006597023,0.00063919142
1.4727944,0.048927529,0.0079874579,-0.0059868958,-0.0039654162,0.0020885129,0.00067268351
