r,delta_sr,delta_plain,residual
0.16039026,0.0067497149,-0.018092885,0.0060212256
0.28713833,0.054007026,0.042826658,0.053796705
0.3445111,0.033267088,-0.12533161,0.032851557
0.38586641,0.036464339,-0.12025347,0.03772053
0.43798228,0.020608857,0.0035303644,0.023222191
0.47290889,-0.0037748097,0.025288303,-0.0056335982
0.49861505,-0.05306511,-0.030074644,-0.055746447
0.52462801,0.12294119,-0.081733063,0.12226111
0.56136033,0.011619532,0.0053009653,0.011405381
0.58828787,-0.020472194,-0.021168118,-0.018350595
0.61587765,0.0032157209,0.0021549515,0.00068471873
0.64014044,-0.013512146,-0.068568282,-0.014515573
0.6677715,0.027101112,0.0069907691,0.029834439
0.70123464,-0.0092642011,-0.077978237,-0.0084095363
0.73104082,-0.020349268,-0.074803576,-0.021531425
0.7544759,-0.046193805,0.01152962,-0.041655826
0.77703513,0.0047311847,-0.020599002,0.0079170666
0.80398848,-0.018671239,-0.071210921,-0.024300898
0.83071974,0.021614941,-0.00022990029,0.018503609
0.8547484,-0.027499072,0.045993881,-0.02275714
0.8881555,-0.016045235,0.0027525431,-0.017098839
0.91721194,-0.0022931452,0.037921077,-0.0049519328
0.94308124,-0.028555972,-0.024813382,-0.026321962
0.97698223,0.015576311,0.034544877,0.014653138
1.0155644,-0.010417662,0.0420999,-0.0090416712
1.0648797,-0.0052521383,0.00052644387,-0.004413087
1.1226516,-0.039745028,0.016621942,-0.040651789
1.188909,-0.0028322303,0.089683043,-0.0065064333
1.2634097,-0.017545625,0.099411862,-0.014773689
1.4727944,-0.021594194,0.26040862,-0.021279681
