step,E_raw,E_clip,stderr,var
25,20.29327,20.293325,0.034760212,0.59307765
31,20.402531,20.402531,0.043454164,0.78645076
40,20.238262,20.238576,0.031182149,0.32129626
50,20.237968,20.250758,0.037356991,0.55642436
63,20.212082,20.212449,0.024683835,0.28406618
79,20.236015,20.235926,0.024545371,0.2617535
100,20.19509,20.194008,0.015817276,0.13229988
126,20.188426,20.187543,0.020234758,0.11172097
158,20.152871,20.153395,0.018724652,0.100274
199,20.184216,20.17413,0.016873813,0.12403436
251,20.132474,20.165232,0.015329732,0.10078385
316,20.167138,20.168811,0.013631944,0.097298652
398,20.153866,20.167205,0.016230353,0.11011133
501,20.150476,20.201904,0.01592787,0.093426265
631,20.181742,20.178762,0.017401967,0.11192
795,20.153752,20.154688,0.013254956,0.062088029
1001,20.184971,20.179323,0.01593361,0.08548818
1261,20.159763,20.158338,0.012032321,0.057479659
1588,20.175985,20.174707,0.012346784,0.059129504
2000,20.172162,20.170498,0.0080377791,0.044643736
2800,20.156983,20.165179,0.0033498705,0.028507182
