r,J_learned,J_learned_std,count
0.45894936,10.683917,0.79617832,768
0.7346803,10.862279,0.81602572,768
0.89357901,10.932942,0.79412391,768
1.0230336,10.902964,0.8394471,768
1.1288884,10.974617,0.79678666,768
1.2242671,10.981751,0.86456435,768
1.3114213,11.02928,0.80585617,768
1.393608,11.056111,0.82830487,768
1.4680853,10.997118,0.81313695,768
1.5390269,10.994244,0.82925505,768
1.6087666,11.069772,0.81991192,768
1.6743276,11.099781,0.85667789,768
1.7386528,11.054969,0.81590195,768
1.8026591,11.113338,0.88697927,768
1.8657322,11.139575,0.85902178,768
1.9285588,11.128414,0.85972627,768
1.9924828,11.140358,0.82332647,768
2.0549872,11.184427,0.80569467,768
2.1158253,11.139739,0.78744973,768
2.1769884,11.182515,0.79859667,768
2.2387683,11.173414,0.76212743,768
2.3001753,11.158357,0.80037213,768
2.3624381,11.179576,0.79830427,768
2.4247422,11.242748,0.83697313,768
2.4903418,11.23437,0.80651737,768
2.555281,11.246547,0.7779799,768
2.6245133,11.289675,0.81952605,768
2.6946097,11.258702,0.77548256,768
2.7703494,11.239272,0.79100554,768
2.8487889,11.302051,0.74093446,768
2.9267888,11.37726,0.78449488,768
3.0133336,11.402344,0.7929025,768
3.1025966,11.418095,0.72836302,768
3.198301,11.477964,0.75228008,768
3.3035315,11.507497,0.69945084,768
3.4330962,11.569029,0.73319629,768
3.5856017,11.614093,0.69762748,768
3.7714131,11.768056,0.69750572,768
4.0307583,11.84983,0.64885388,768
4.5444272,12.184611,0.66139171,768
