mode,mu,sr_weight,plain_weight,residual_power
1,42027.472,1,1,0.13300445
2,2825.5083,1,0.067230033,0.029405147
3,1801.1365,1,0.042856171,0.31205792
4,802.91347,1,0.019104491,0.0021467909
5,782.94618,1,0.01862939,0.092699469
6,508.11302,1,0.012090021,0.04648488
7,395.89803,1,0.0094199821,0.077709168
8,334.5941,1,0.0079613186,5.2648263e-05
9,247.6911,1,0.0058935523,0.01565192
10,214.71023,1,0.0051088068,0.12756132
11,171.92316,1,0.0040907328,0.017161699
12,139.2738,1,0.0033138752,0.030396817
13,133.59954,1,0.0031788622,0.40568466
14,122.06269,1,0.0029043549,0.030419193
15,120.45982,1,0.0028662161,0.032129419
16,96.012165,1,0.0022845096,0.0061900791
17,93.266405,1,0.0022191771,0.091500388
18,88.815947,1,0.0021132831,0.35069336
19,78.264563,1,0.0018622239,0.013881358
20,73.763276,1,0.0017551205,0.21065546
21,60.667673,1,0.0014435242,0.00027950833
22,55.459672,1,0.0013196052,0.0044639967
23,53.948579,1,0.0012836503,0.0072779716
24,46.076587,1,0.0010963445,0.22496843
25,41.915385,1,0.000997333,0.0088513616
26,40.801545,1,0.00097083033,0.0012468287
27,32.41717,1,0.00077133285,0.074471752
28,28.560348,1,0.00067956378,0.019494428
29,26.896056,1,0.00063996368,0.0060946292
30,24.767598,1,0.00058931925,0.029734532
31,24.264488,1,0.00057734826,0.00090944136
32,21.375033,1,0.00050859669,0.031837415
33,19.911344,1,0.00047376973,0.43349956
34,18.864707,1,0.00044886608,0.00031618004
35,18.501162,1,0.00044021592,0.28783341
36,17.426072,1,0.00041463526,0.044452949
37,16.305655,1,0.00038797611,0.032317429
38,15.669933,1,0.00037284977,0.014671066
39,15.203927,1,0.00036176164,0.00057075115
40,14.261836,1,0.00033934557,0.0046484037
41,13.152433,1,0.00031294847,0.354056
42,12.764364,1,0.00030371477,0.0038191902
43,11.851307,1,0.00028198952,0.00033243445
44,11.473987,1,0.00027301159,0.00016840841
45,10.704385,1,0.00025469972,0.042644997
46,10.035848,1,0.00023879256,0.00036434043
47,9.7255108,1,0.00023140842,0.05200675
48,9.3390735,1,0.00022221354,0.0015476999
49,8.9102556,1,0.00021201027,0.076315367
50,8.4904999,1,0.00020202262,0.042724116
51,8.3739273,1,0.00019924889,0.079396568
52,7.9605572,1,0.00018941318,0.0050555558
53,7.666095,1,0.00018240676,0.00067454142
54,7.3498679,1,0.00017488246,0.0081761279
55,7.1852777,1,0.00017096621,0.00029950791
56,6.8734376,1,0.0001635463,0.010329251
57,6.6980693,1,0.00015937359,0.038294482
58,6.5775336,1,0.00015650557,0.013195218
59,6.0596788,1,0.00014418376,0.2254466
60,5.8914676,1,0.00014018135,0.4224825
61,5.5777459,1,0.00013271666,0.0064603573
62,5.111897,1,0.00012163227,0.063879322
63,5.0605921,1,0.00012041153,0.0031143543
64,4.8545848,1,0.0001155098,0.035786044
65,4.7053813,1,0.00011195966,0.0087285237
66,4.5340572,1,0.00010788318,0.055222475
67,4.4564464,1,0.00010603651,0.101924
68,4.2617614,1,0.00010140418,0.055031557
69,4.1480304,1,9.869807e-05,0.072366324
70,4.0368145,1,9.6051803e-05,0.00014955465
71,3.7907003,1,9.0195773e-05,0.0061401755
72,3.5282304,1,8.3950574e-05,0.019772286
73,3.4452806,1,8.1976869e-05,0.2042314
74,3.2457557,1,7.7229383e-05,0.30133107
75,3.1549335,1,7.5068362e-05,0.050355033
76,3.027937,1,7.2046611e-05,0.0023422001
77,2.9896983,1,7.1136763e-05,0.0082156126
78,2.9099293,1,6.9238741e-05,0.0010324114
79,2.8233458,1,6.7178577e-05,0.29555907
80,2.7203292,1,6.4727406e-05,0.038916364
81,2.6141233,1,6.2200347e-05,0.014381498
82,2.4948155,1,5.9361541e-05,0.021535589
83,2.3931942,1,5.6943568e-05,0.27525734
84,2.3797558,1,5.6623814e-05,0.0033327648
85,2.3496577,1,5.5907662e-05,0.0022533623
86,2.2730957,1,5.4085949e-05,0.0056977988
87,2.1351382,1,5.0803395e-05,0.012203205
88,2.0899892,1,4.972912e-05,0.016796657
89,2.0332241,1,4.8378453e-05,0.10594321
90,1.9466199,1,4.6317796e-05,0.21164805
91,1.9282441,1,4.5880562e-05,0.00033792376
92,1.9191044,1,4.5663093e-05,0.04854462
93,1.8284312,1,4.350562e-05,0.0034991616
94,1.8072157,1,4.3000819e-05,0.00023249542
95,1.7559629,1,4.1781311e-05,0.33938386
96,1.7424389,1,4.1459521e-05,0.074485466
97,1.6668772,1,3.9661611e-05,0.030921809
98,1.6394347,1,3.9008643e-05,0.012016332
99,1.5869368,1,3.7759511e-05,1.5783759e-06
100,1.5780592,1,3.7548277e-05,0.044827706
101,1.526381,1,3.6318649e-05,0.049908288
102,1.4890389,1,3.5430131e-05,0.025764577
103,1.4693356,1,3.4961312e-05,0.00016888351
104,1.3996281,1,3.3302696e-05,0.0062099028
105,1.3394508,1,3.1870839e-05,0.0037421883
106,1.3223503,1,3.146395e-05,0.11244958
107,1.2885595,1,3.0659933e-05,0.0089055334
108,1.2738203,1,3.0309229e-05,0.32535443
109,1.2511595,1,2.9770039e-05,0.0090104255
110,1.2231072,1,2.9102563e-05,0.0018044216
111,1.1887067,1,2.828404e-05,0.0049034002
112,1.1456389,1,2.7259287e-05,0.10408719
113,1.116982,1,2.6577426e-05,0.33662756
114,1.085223,1,2.5821753e-05,0.0080771238
115,1.0796102,1,2.5688203e-05,0.0024662052
116,1.0486062,1,2.4950494e-05,0.0055497216
117,1.0313228,1,2.4539254e-05,0.12996134
118,0.99793343,1,2.3744788e-05,0.0061416975
119,0.98300365,1,2.338955e-05,0.30161576
120,0.97161453,1,2.3118557e-05,0.617196
121,0.92929073,1,2.2111507e-05,0.0088406996
122,0.90132415,1,2.1446071e-05,0.066410137
123,0.89795419,1,2.1365886e-05,0.0012453165
124,0.88165191,1,2.097799e-05,0.010086549
125,0.84403357,1,2.0082901e-05,0.35252144
126,0.8119314,1,1.9319063e-05,0.00036088711
127,0.7954919,1,1.8927903e-05,0.22848078
128,0.77740171,1,1.8497465e-05,0.0068097882
129,0.75888114,1,1.8056788e-05,0.0010009249
130,0.75474279,1,1.795832e-05,0.043058279
131,0.73262673,1,1.7432091e-05,0.043648205
132,0.73129222,1,1.7400338e-05,0.076390289
133,0.7141861,1,1.6993316e-05,0.0055043697
134,0.68976167,1,1.6412162e-05,0.06319318
135,0.68529991,1,1.6305999e-05,0.03297907
136,0.68012621,1,1.6182896e-05,0.0028610778
137,0.660786,1,1.5722716e-05,0.057934394
138,0.65004834,1,1.5467224e-05,0.010058332
139,0.63128937,1,1.5020874e-05,0.020502057
140,0.6113507,1,1.4546454e-05,0.085307072
141,0.60389176,1,1.4368977e-05,0.017224352
142,0.58323174,1,1.3877393e-05,0.027912564
143,0.58186734,1,1.3844928e-05,0.00097776558
144,0.56869209,1,1.3531437e-05,0.32597336
145,0.56293966,1,1.3394564e-05,0.21615193
146,0.54853338,1,1.3051781e-05,0.022019672
147,0.54413659,1,1.2947164e-05,0.11163537
148,0.53485032,1,1.2726207e-05,0.26787826
149,0.53157447,1,1.2648262e-05,0.12135477
150,0.51518996,1,1.2258409e-05,0.13682923
151,0.50626062,1,1.2045945e-05,0.017625674
152,0.49739346,1,1.183496e-05,0.025573913
153,0.49295964,1,1.1729462e-05,0.0077238031
154,0.47893019,1,1.1395646e-05,0.0086394131
155,0.47190883,1,1.122858e-05,0.24306098
156,0.46843338,1,1.1145885e-05,0.27025916
157,0.46343948,1,1.1027061e-05,0.11399915
158,0.45453198,1,1.0815116e-05,0.010595484
159,0.44791599,1,1.0657695e-05,0.034075118
160,0.43425488,1,1.0332643e-05,0.70793654
161,0.43094824,1,1.0253965e-05,0.25693057
162,0.42457681,1,1.0102364e-05,0.030140806
163,0.41488753,1,9.8718174e-06,0.0095445014
164,0.40610847,1,9.6629287e-06,0.0011936254
165,0.40556249,1,9.6499377e-06,0.010250919
166,0.40255643,1,9.5784117e-06,0.65059945
167,0.382703,1,9.1060199e-06,0.25463491
168,0.37816747,1,8.9981018e-06,1.7380841e-06
169,0.37714507,1,8.9737747e-06,0.01966068
170,0.37255711,1,8.8646091e-06,0.086093126
171,0.36767234,1,8.748381e-06,0.029628977
172,0.35605676,1,8.4720003e-06,0.03451015
173,0.34788465,1,8.2775536e-06,0.036701718
174,0.34752307,1,8.2689501e-06,0.12003531
175,0.34358576,1,8.175266e-06,0.59404649
176,0.33371136,1,7.9403149e-06,0.025143745
177,0.32858218,1,7.8182714e-06,0.047313443
178,0.32466464,1,7.7250574e-06,0.074667963
179,0.32039022,1,7.623352e-06,0.088775612
180,0.3148338,1,7.4911429e-06,0.19428906
181,0.30924035,1,7.3580525e-06,0.03607005
182,0.30735796,1,7.313263e-06,0.2352153
183,0.30459519,1,7.2475257e-06,0.098341471
184,0.29393257,1,6.9938199e-06,0.0068390881
185,0.29211941,1,6.9506777e-06,0.033375935
186,0.28470054,1,6.7741533e-06,0.007186445
187,0.28324147,1,6.7394363e-06,0.0093790729
188,0.27846066,1,6.6256819e-06,0.067225946
189,0.27186769,1,6.4688091e-06,0.014122325
190,0.26821333,1,6.3818572e-06,0.015658579
191,0.26647839,1,6.3405763e-06,0.13197362
192,0.26062359,1,6.2012672e-06,0.091017172
193,0.25825083,1,6.14481e-06,0.10420395
194,0.25690517,1,6.1127913e-06,0.04894131
195,0.25094309,1,5.9709299e-06,0.046306047
196,0.24644575,1,5.8639205e-06,0.15925131
197,0.24242664,1,5.7682899e-06,0.18686909
198,0.24161663,1,5.7490164e-06,0.012477171
199,0.23895817,1,5.6857611e-06,0.00018732614
200,0.23268622,1,5.5365267e-06,0.083157041
201,0.23106993,1,5.4980687e-06,0.01678137
202,0.22623225,1,5.3829611e-06,0.1965499
203,0.22304886,1,5.3072157e-06,0.092576399
204,0.21658655,1,5.1534518e-06,0.0057720963
205,0.21470416,1,5.1086622e-06,0.01554787
206,0.21133114,1,5.0284048e-06,0.12879554
207,0.2104802,1,5.0081575e-06,0.043612034
208,0.20702915,1,4.9260434e-06,0.053949057
209,0.20429215,1,4.8609192e-06,0.014853736
210,0.19793754,1,4.709718e-06,0.056421393
211,0.19757521,1,4.7010966e-06,0.0014455487
212,0.19376199,1,4.6103652e-06,0.16346903
213,0.19204286,1,4.5694602e-06,0.22866612
214,0.19068356,1,4.5371171e-06,0.0084289338
215,0.18675635,1,4.4436732e-06,0.00062206194
216,0.18602753,1,4.4263317e-06,0.25583042
217,0.18107814,1,4.308566e-06,0.019845868
218,0.17870848,1,4.2521824e-06,0.056046056
219,0.17744382,1,4.2220911e-06,0.050285989
220,0.17556064,1,4.177283e-06,0.00083460445
221,0.17280196,1,4.111643e-06,0.023828422
222,0.17134808,1,4.0770494e-06,0.0071958914
223,0.16650485,1,3.9618097e-06,0.068908344
224,0.16600673,1,3.9499575e-06,0.0022635371
225,0.16499259,1,3.9258271e-06,0.032332527
226,0.16140284,1,3.8404127e-06,0.025113321
227,0.15799251,1,3.7592674e-06,0.006669584
228,0.15682317,1,3.7314442e-06,0.01144955
229,0.15451893,1,3.6766174e-06,8.0470831e-05
230,0.15320065,1,3.6452501e-06,0.018081008
231,0.14877462,1,3.5399374e-06,0.086725598
232,0.14799154,1,3.5213049e-06,0.02269406
233,0.14764718,1,3.5131111e-06,0.042842285
234,0.14570616,1,3.4669267e-06,0.0066851836
235,0.14503735,1,3.451013e-06,0.099644282
236,0.14198674,1,3.3784269e-06,0.017302126
237,0.13972141,1,3.3245257e-06,0.29307626
238,0.13917776,1,3.31159e-06,0.8915902
239,0.13718313,1,3.2641298e-06,0.00052949721
240,0.13520846,1,3.2171447e-06,0.0060860881
241,0.13158427,1,3.1309109e-06,0.039854578
