step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
25,1,0.11195995,1.9936747e+09,1.1430662,383
31,1,0.74030994,2.7006899e+09,1.3809322,383
40,0.99456004,0.19856238,2.4098138e+10,1.0434921,383
50,0.99941197,0.26446857,1.5085835e+10,1.1852834,383
63,0.9834062,0.068695745,4.5922604e+10,1.0326423,383
79,0.99480328,0.11015347,3.5259621e+10,1.0470059,383
100,0.99991294,0.14871071,1.2087802e+10,1.0779606,383
126,0.99544391,0.34909452,1.2351287e+10,1.0950907,383
158,1,0.098623562,7.4861338e+09,1.100575,383
199,0.99842888,0.07519604,1.4079952e+10,1.1020315,383
251,1,0.024159406,3.3605459e+09,1.1330604,383
316,1,0.054065261,8.1514967e+08,1.1400033,383
398,1,0.076152266,7.3683552e+08,1.1252694,383
501,1,0.067265355,6.8516616e+08,1.1524652,383
631,1,0.13466058,1.6523524e+08,1.1684904,383
795,1,0.054423019,86134165,1.1460166,383
1001,1,0.055305717,50109630,1.1974102,383
1261,1,0.18738576,34988639,1.1986983,383
1588,1,0.20081203,24138309,1.2120193,383
2000,1,0.13212116,25377910,1.2298937,383
3200,1,0.078764771,82725083,1.6039908,767
