r,J_learned,J_learned_std,count
0.43076764,10.878221,0.83557304,768
0.72087764,11.036608,0.83436468,768
0.89524497,11.07897,0.8168384,768
1.0230132,11.153212,0.83889462,768
1.1331369,11.204279,0.85560053,768
1.2287279,11.206752,0.82116542,768
1.3160728,11.195258,0.80893917,768
1.3967481,11.209829,0.8338679,768
1.4724478,11.226826,0.84178353,768
1.5451078,11.18461,0.82634461,768
1.615481,11.281763,0.84566985,768
1.6835777,11.257743,0.83164478,768
1.7475574,11.336079,0.84245065,768
1.8104421,11.31088,0.79130729,768
1.8708272,11.292835,0.85476708,768
1.9322421,11.248586,0.83101598,768
1.9927219,11.268481,0.75090604,768
2.0544285,11.332973,0.81881383,768
2.1172041,11.3163,0.79864935,768
2.1798115,11.331719,0.83467043,768
2.2419219,11.433934,0.84867002,768
2.3030851,11.32878,0.80653319,768
2.3668074,11.361853,0.81768978,768
2.4297562,11.43382,0.8243929,768
2.4930041,11.458961,0.8082708,768
2.5621431,11.420408,0.81267527,768
2.6313575,11.44501,0.80004362,768
2.7011882,11.447628,0.81124018,768
2.7730983,11.546204,0.76584759,768
2.8493745,11.53914,0.76295334,768
2.9318757,11.545112,0.76550709,768
3.0155893,11.554529,0.74693923,768
3.104452,11.640149,0.77215302,768
3.2020758,11.645183,0.71118174,768
3.3125169,11.671701,0.70049603,768
3.442011,11.759127,0.70803698,768
3.5900012,11.882617,0.70077744,768
3.773775,11.90038,0.69381132,768
4.0207379,12.038696,0.68187956,768
4.5560056,12.374024,0.70676792,768
