mode,mu,sr_weight,plain_weight,residual_power
1,40757.867,1,1,0.63169149
2,3427.9198,1,0.084104495,0.14034448
3,1954.4717,1,0.047953237,0.072587994
4,799.8066,1,0.019623368,0.0052856338
5,750.94062,1,0.018424434,0.040822661
6,535.501,1,0.013138592,0.32210264
7,471.60031,1,0.01157078,0.1141119
8,340.2745,1,0.0083486828,0.026215057
9,294.32486,1,0.0072213018,0.23598349
10,269.93558,1,0.0066229075,0.26190653
11,190.05776,1,0.0046630939,0.092323515
12,162.06911,1,0.0039763885,0.69295447
13,143.54046,1,0.0035217854,0.026757028
14,132.98239,1,0.0032627417,0.00012189848
15,123.35482,1,0.0030265279,0.17867182
16,119.04312,1,0.0029207397,0.024096283
17,111.99347,1,0.0027477756,0.034963958
18,89.620787,1,0.0021988586,1.8704265e-07
19,89.425857,1,0.002194076,0.017138737
20,75.863216,1,0.0018613147,0.24395289
21,72.473328,1,0.0017781433,0.042285216
22,58.221247,1,0.0014284665,0.001863697
23,55.741971,1,0.0013676371,0.1312865
24,48.74459,1,0.0011959554,0.001884987
25,45.601706,1,0.0011188443,0.85475288
26,42.534213,1,0.0010435829,0.031766971
27,35.536173,1,0.000871885,0.1626273
28,30.864646,1,0.00075726844,0.00091251899
29,29.63956,1,0.00072721077,0.49616213
30,27.924062,1,0.00068512078,0.0004198911
31,24.541256,1,0.00060212317,0.018612505
32,23.164084,1,0.00056833407,0.095212955
33,22.358981,1,0.00054858075,0.37918362
34,21.428894,1,0.00052576094,1.330514
35,19.648123,1,0.00048206947,0.075237278
36,18.926135,1,0.00046435538,0.081847554
37,18.47737,1,0.00045334486,0.021747155
38,17.127489,1,0.00042022534,0.21744951
39,16.771938,1,0.00041150186,0.30820015
40,14.723856,1,0.00036125187,0.23393811
41,14.587347,1,0.00035790261,0.013646207
42,13.248938,1,0.00032506455,0.2715696
43,12.979485,1,0.00031845349,0.18780479
44,12.549128,1,0.00030789462,0.0043860481
45,11.497683,1,0.00028209728,0.22456699
46,10.975207,1,0.00026927826,0.050086749
47,10.768327,1,0.00026420242,0.033492855
48,9.8655309,1,0.00024205219,0.0087935926
49,9.7093816,1,0.00023822104,0.017922151
50,9.0727212,1,0.00022260049,1.0412504
51,8.9941484,1,0.0002206727,0.15692368
52,8.6075724,1,0.000211188,0.044013762
53,8.2508683,1,0.00020243621,0.0035370899
54,8.2004966,1,0.00020120034,0.010197421
55,7.503507,1,0.0001840996,0.24985247
56,7.1695719,1,0.00017590645,0.10958704
57,7.0271216,1,0.00017241142,0.0082116496
58,6.8938187,1,0.00016914081,0.41339242
59,6.7690193,1,0.00016607884,0.62051888
60,6.1540783,1,0.00015099118,0.27633858
61,6.0379397,1,0.0001481417,0.3883402
62,5.7518992,1,0.00014112366,0.052688407
63,5.6835765,1,0.00013944735,0.070486322
64,5.438984,1,0.00013344624,0.003947345
65,5.0972743,1,0.00012506234,0.0028155722
66,5.013209,1,0.00012299979,0.066312164
67,4.9498016,1,0.00012144408,0.38911366
68,4.4606651,1,0.00010944305,0.098750956
69,4.2178897,1,0.00010348652,0.30464852
70,4.1892942,1,0.00010278492,0.46155929
71,4.0791193,1,0.00010008177,0.28173478
72,3.8659054,1,9.4850533e-05,0.55276675
73,3.6740194,1,9.0142583e-05,0.23068329
74,3.6240957,1,8.8917697e-05,0.026519664
75,3.5590675,1,8.7322222e-05,0.019168983
76,3.4888933,1,8.5600487e-05,0.38358105
77,3.3343515,1,8.1808784e-05,2.2493088e-05
78,3.2735091,1,8.0316006e-05,0.10076823
79,3.1238522,1,7.6644153e-05,0.0060979035
80,3.0397008,1,7.4579487e-05,0.00096816826
81,2.9147125,1,7.1512882e-05,0.49507926
82,2.8622129,1,7.0224797e-05,0.31313359
83,2.7883629,1,6.8412876e-05,0.11868535
84,2.6818832,1,6.5800382e-05,1.5485387e-06
85,2.6569925,1,6.5189686e-05,0.0067877352
86,2.5309536,1,6.2097302e-05,0.061048517
87,2.4713214,1,6.0634219e-05,0.001387834
88,2.336898,1,5.7336121e-05,0.084860464
89,2.3076863,1,5.6619408e-05,0.74588255
90,2.2295631,1,5.4702644e-05,0.02936388
91,2.2148605,1,5.4341914e-05,0.26762696
92,2.1289589,1,5.2234306e-05,0.14581026
93,2.0439344,1,5.0148217e-05,0.42355243
94,1.9763936,1,4.8491095e-05,0.020807142
95,1.9206188,1,4.7122654e-05,0.00082299184
96,1.874656,1,4.5994948e-05,0.2912238
97,1.8432592,1,4.5224624e-05,0.023832307
98,1.7674043,1,4.3363514e-05,0.56597324
99,1.7443115,1,4.2796928e-05,3.717462e-05
100,1.6457471,1,4.0378637e-05,0.072931724
101,1.6227891,1,3.9815359e-05,0.070073443
102,1.5715658,1,3.8558589e-05,0.045220497
103,1.5304213,1,3.7549102e-05,0.2296489
104,1.4691165,1,3.6044981e-05,0.08338564
105,1.4558597,1,3.5719723e-05,0.21883058
106,1.4285832,1,3.505049e-05,0.12611229
107,1.3786438,1,3.3825219e-05,0.056833753
108,1.3540469,1,3.322173e-05,0.017064506
109,1.314581,1,3.225343e-05,0.013373143
110,1.2815487,1,3.1442977e-05,0.035201748
111,1.2377913,1,3.0369385e-05,0.066246485
112,1.2138121,1,2.9781052e-05,0.073253332
113,1.1648149,1,2.8578896e-05,0.30980127
114,1.1511261,1,2.8243041e-05,0.24005408
115,1.1226482,1,2.7544332e-05,0.029546501
116,1.0800843,1,2.6500019e-05,0.063289954
117,1.065137,1,2.6133286e-05,0.15448457
118,1.0250013,1,2.514855e-05,0.016702963
119,1.0135512,1,2.4867621e-05,0.9685345
120,1.0048951,1,2.4655243e-05,0.19661459
121,0.98164671,1,2.408484e-05,0.07772864
122,0.97229534,1,2.3855403e-05,0.023559419
123,0.95873661,1,2.3522738e-05,0.0079246438
124,0.91315014,1,2.2404267e-05,0.084584606
125,0.90251955,1,2.2143444e-05,0.40879029
126,0.89699973,1,2.2008015e-05,0.035711202
127,0.88006995,1,2.159264e-05,0.032736293
128,0.84140271,1,2.0643934e-05,0.027421721
129,0.82118448,1,2.0147877e-05,7.7032802e-05
130,0.81498656,1,1.999581e-05,0.50160667
131,0.80031382,1,1.9635812e-05,0.20952416
132,0.78949361,1,1.9370337e-05,0.17503332
133,0.78004979,1,1.9138631e-05,0.16210238
134,0.75141709,1,1.8436124e-05,0.14730977
135,0.74113407,1,1.8183829e-05,0.53455586
136,0.72359316,1,1.775346e-05,0.34393822
137,0.70932895,1,1.7403486e-05,1.251092e-05
138,0.69925076,1,1.7156216e-05,0.012380533
139,0.68340433,1,1.6767421e-05,0.99953903
140,0.67528441,1,1.6568198e-05,0.19168664
141,0.66142655,1,1.6228194e-05,0.091897237
142,0.65420106,1,1.6050915e-05,0.073639487
143,0.64589798,1,1.5847198e-05,0.17389004
144,0.63534542,1,1.5588289e-05,0.3187388
145,0.62053526,1,1.522492e-05,0.0089515858
146,0.61002862,1,1.4967138e-05,0.0008081005
147,0.59913476,1,1.4699856e-05,0.5768353
148,0.57958471,1,1.4220192e-05,0.047590239
149,0.57428519,1,1.4090168e-05,0.086637795
150,0.55959726,1,1.3729797e-05,0.21062133
151,0.54540493,1,1.3381587e-05,4.5440405e-05
152,0.53822423,1,1.3205407e-05,0.1170815
153,0.52862055,1,1.2969779e-05,0.013297831
154,0.51292623,1,1.2584717e-05,0.22034144
155,0.51009999,1,1.2515375e-05,0.016016335
156,0.50606689,1,1.2416422e-05,0.023936944
157,0.50224016,1,1.2322533e-05,0.35200133
158,0.49902605,1,1.2243674e-05,0.17791571
159,0.48500492,1,1.1899664e-05,0.14786891
160,0.46762318,1,1.1473201e-05,0.027655472
161,0.46462626,1,1.1399671e-05,0.74654843
162,0.46153852,1,1.1323913e-05,0.25186544
163,0.45248147,1,1.1101697e-05,0.40058194
164,0.44458322,1,1.0907912e-05,0.050910759
165,0.43252427,1,1.0612044e-05,9.9517903e-05
166,0.42543665,1,1.0438148e-05,0.17302867
167,0.41817607,1,1.0260009e-05,0.16424011
168,0.41452801,1,1.0170503e-05,0.34394865
169,0.41212819,1,1.0111623e-05,0.16615246
170,0.40659861,1,9.9759542e-06,0.31231718
171,0.39472986,1,9.6847525e-06,0.10732326
172,0.39256578,1,9.6316565e-06,0.14937619
173,0.38585199,1,9.4669329e-06,0.031808062
174,0.38236517,1,9.3813832e-06,0.0068983022
175,0.3728918,1,9.1489528e-06,0.048789011
176,0.36237358,1,8.8908868e-06,0.00072823016
177,0.35793025,1,8.781869e-06,0.19856152
178,0.34741847,1,8.523961e-06,0.05021014
179,0.34716605,1,8.5177679e-06,0.42392859
180,0.34147783,1,8.3782067e-06,0.054464174
181,0.33748506,1,8.2802435e-06,0.068373664
182,0.33299635,1,8.1701123e-06,0.010985779
183,0.33093763,1,8.1196013e-06,0.053118661
184,0.32226042,1,7.9067047e-06,0.21268142
185,0.31344846,1,7.6905021e-06,0.094491657
186,0.31100775,1,7.630619e-06,0.0048649398
187,0.30566665,1,7.4995742e-06,0.26039654
188,0.30312505,1,7.4372158e-06,0.67340996
189,0.29953535,1,7.3491419e-06,0.00013656232
190,0.29133811,1,7.1480216e-06,0.00020445315
191,0.2848316,1,6.9883834e-06,0.27767055
192,0.2836809,1,6.9601509e-06,0.285706
193,0.28271375,1,6.9364217e-06,0.48128461
194,0.27794629,1,6.8194513e-06,0.053282831
195,0.27196437,1,6.6726841e-06,0.41432088
196,0.2700431,1,6.6255455e-06,0.025886307
197,0.26385907,1,6.4738194e-06,0.00011397505
198,0.2612801,1,6.410544e-06,0.0026713259
199,0.25877916,1,6.3491832e-06,0.067520802
200,0.2515173,1,6.1710124e-06,0.36572744
201,0.24999471,1,6.1336555e-06,0.10603419
202,0.24862417,1,6.100029e-06,0.44004922
203,0.24405505,1,5.9879249e-06,0.0087791507
204,0.24162299,1,5.9282541e-06,1.8260687e-05
205,0.23872183,1,5.8570737e-06,0.13452089
206,0.23480782,1,5.7610429e-06,0.00046171857
207,0.23127507,1,5.6743665e-06,0.0048899345
208,0.22679182,1,5.5643693e-06,0.047384537
209,0.22110852,1,5.4249285e-06,0.0025532148
210,0.21854074,1,5.3619277e-06,0.1143211
211,0.21460296,1,5.2653138e-06,0.0094722555
212,0.21097308,1,5.1762543e-06,0.024292247
213,0.20651454,1,5.0668633e-06,0.0077841968
214,0.20328424,1,4.9876074e-06,0.037494008
215,0.19965081,1,4.8984608e-06,1.2608054
216,0.19834427,1,4.8664045e-06,0.20108025
217,0.19654514,1,4.8222626e-06,0.52922577
218,0.19573158,1,4.8023018e-06,0.026126544
219,0.19183977,1,4.7068158e-06,0.039032681
220,0.18828895,1,4.6196959e-06,0.008637122
221,0.18647751,1,4.5752519e-06,0.054836785
222,0.18410826,1,4.5171221e-06,0.0053281356
223,0.18114473,1,4.4444113e-06,0.12857795
224,0.17986393,1,4.4129867e-06,0.79009918
225,0.17547399,1,4.3052791e-06,0.002963351
226,0.1734899,1,4.2565991e-06,0.27330991
227,0.17235074,1,4.2286496e-06,0.05128557
228,0.17016996,1,4.175144e-06,0.4863148
