index,eigenvalue
1,21.8707
2,9.0617672
3,7.5735049
4,2.0856058
5,1.5844037
6,1.0823932
7,0.45132025
8,0.19074678
9,0.13617684
10,0.11854789
11,0.10734999
12,0.09712298
13,0.090035558
14,0.080265311
15,0.060692252
16,0.05208387
17,0.036675205
18,0.034341055
19,0.030319194
20,0.029782379
21,0.02577797
22,0.022648249
23,0.020678873
24,0.019431996
25,0.018442567
26,0.01685334
27,0.014673813
28,0.01281788
29,0.0096785062
30,0.0090013832
31,0.0077260137
32,0.0074792489
33,0.0059298973
34,0.0055597783
35,0.0052198643
36,0.0045943486
37,0.0042286728
38,0.0036753497
39,0.0030963632
40,0.0029744096
41,0.002900835
42,0.0026591304
43,0.0025391
44,0.0022856444
45,0.0021471056
46,0.0019881885
47,0.0019280319
48,0.0018026639
49,0.0016947239
50,0.0016330488
51,0.0015444304
52,0.0014771041
53,0.0014229489
54,0.0013209873
55,0.0011534125
56,0.0011165271
57,0.0010827096
58,0.00097141078
59,0.00091863371
60,0.000877
61,0.00083046892
62,0.00079881356
63,0.0007847921
64,0.00073193384
65,0.00068829171
66,0.00065576276
67,0.00063859367
68,0.00060318303
69,0.00058926035
70,0.00056087946
71,0.00052572799
72,0.00049490999
73,0.00045787434
74,0.00043217427
75,0.00042415151
76,0.00041260821
77,0.00039889918
78,0.00038762928
79,0.00037248365
80,0.00035536512
81,0.0003310441
82,0.00031307682
83,0.00031257299
84,0.00028925478
85,0.00027520145
86,0.00025219121
87,0.00024844873
88,0.0002393293
89,0.00022078144
90,0.00021289843
91,0.00020243913
92,0.00018597025
93,0.00018439414
94,0.0001701659
95,0.0001679793
96,0.00016029704
97,0.00015689752
98,0.00014588266
99,0.00013975088
100,0.00013327944
101,0.00013125055
102,0.00012308766
103,0.00012081579
104,0.00011468433
105,0.00011038748
106,0.0001052182
107,9.7877894e-05
108,9.2999332e-05
109,9.015755e-05
110,8.8133848e-05
111,8.4137646e-05
112,8.3154658e-05
113,7.7283005e-05
114,7.4949253e-05
115,7.1943305e-05
116,6.969554e-05
117,6.7294964e-05
118,6.7238067e-05
119,6.5946308e-05
120,6.1049612e-05
121,5.9010442e-05
122,5.7566264e-05
123,5.7002747e-05
124,5.3875379e-05
125,5.2672493e-05
126,5.1500611e-05
127,5.0301325e-05
128,4.7642337e-05
129,4.6439113e-05
130,4.6018438e-05
131,4.3281645e-05
132,4.2007252e-05
133,4.0104138e-05
134,3.9765719e-05
135,3.8852476e-05
136,3.7883319e-05
137,3.6432522e-05
138,3.5202366e-05
139,3.3853699e-05
140,3.2972711e-05
141,3.2395247e-05
142,3.1977064e-05
143,3.1115141e-05
144,3.0273647e-05
145,2.9524625e-05
146,2.8613641e-05
147,2.800807e-05
148,2.7154403e-05
149,2.6480003e-05
150,2.6371712e-05
151,2.4809452e-05
152,2.4501906e-05
153,2.366192e-05
154,2.3310399e-05
155,2.2882619e-05
156,2.2019424e-05
157,2.1603465e-05
158,2.1375139e-05
159,2.045576e-05
160,1.995393e-05
161,1.9739452e-05
162,1.9211535e-05
163,1.8345038e-05
164,1.7736866e-05
165,1.7455082e-05
166,1.7172259e-05
167,1.6700528e-05
168,1.5929032e-05
169,1.5774751e-05
170,1.5506331e-05
171,1.4884959e-05
172,1.4799082e-05
173,1.4298824e-05
174,1.3999856e-05
175,1.3574599e-05
176,1.3286914e-05
177,1.2882698e-05
178,1.2635785e-05
179,1.2292516e-05
180,1.2250907e-05
181,1.1824432e-05
182,1.1542049e-05
183,1.1066554e-05
184,1.0730504e-05
185,1.0629066e-05
186,1.0266404e-05
187,1.0211509e-05
188,1.0059205e-05
189,9.5541693e-06
190,9.4916333e-06
191,9.2763567e-06
192,9.1774527e-06
193,8.907542e-06
194,8.3978436e-06
195,8.381335e-06
196,8.2463927e-06
197,8.0746027e-06
198,8.0206067e-06
199,7.7033529e-06
200,7.3595582e-06
201,7.2827164e-06
202,7.1032973e-06
203,6.9884964e-06
204,6.8240264e-06
205,6.5767645e-06
206,6.5393703e-06
207,6.4375221e-06
208,6.2962917e-06
209,6.2534147e-06
210,6.0459919e-06
