step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
25,1,0.16990533,1.3703092e+09,3.9189009,383
31,1,0.31508137,2.753992e+09,3.9727686,383
40,1,0.12524506,2.2697498e+09,3.8727596,383
50,1,0.25852046,3.5531466e+09,3.9799868,383
63,1,0.20357038,3.4167539e+09,3.7770309,383
79,1,0.11057877,6.3727529e+09,4.0961772,383
100,0.9997373,0.14957142,1.2000125e+10,3.3928298,383
126,1,0.16730709,7.118086e+09,3.9818308,383
158,1,0.11901198,6.8584848e+09,3.9058123,383
199,0.99592288,0.095527932,2.6852261e+10,3.2287658,383
251,0.99228899,0.07233956,1.8306474e+10,3.414119,383
316,0.99427385,0.17724605,2.5543086e+10,3.4215553,383
398,0.98607038,0.13723373,2.2432515e+10,3.0837769,383
501,0.99602005,0.10380405,1.8952556e+10,3.194234,383
631,0.99648843,0.071204447,1.7520469e+10,3.2611196,383
795,0.99725382,0.11336971,1.6107329e+10,3.1112664,383
1001,1,0.12308421,9.1094763e+09,3.0716742,383
1261,1,0.10355977,3.036905e+09,3.0241375,383
1588,1,0.070166408,1.6953068e+09,3.3902663,383
2000,1,0.12086165,2.1469393e+09,3.0105574,383
2800,0.99269417,0.068621498,2.5517073e+10,3.2408335,767
