step,E_raw,E_clip,stderr,var
25,20.209951,20.215309,0.023175552,0.33246096
31,20.247288,20.247288,0.039341533,0.43607181
40,20.158872,20.159237,0.033391959,0.45660903
50,20.200011,20.203944,0.036985992,0.38745996
63,20.255801,20.255801,0.027653751,0.24792141
79,20.228936,20.241697,0.029588239,0.33348603
100,20.1677,20.178315,0.030878672,0.27074259
126,20.196,20.196295,0.02329436,0.2099481
158,20.200151,20.197961,0.016812279,0.15472077
199,20.162837,20.18327,0.021146051,0.15797793
251,20.181978,20.179849,0.019335607,0.16886127
316,20.152995,20.167455,0.018782683,0.14927422
398,20.177701,20.177175,0.017638666,0.12440759
501,20.168925,20.174919,0.013404684,0.086522939
631,20.159682,20.165507,0.022116813,0.12579086
795,20.200977,20.19616,0.014053649,0.10188626
1001,20.189301,20.185829,0.019641993,0.10111395
1261,20.183866,20.182874,0.013744107,0.096443833
1588,20.151614,20.153434,0.015831282,0.1049216
2000,20.173665,20.173522,0.014526142,0.09195615
2800,20.175134,20.175031,0.0073019613,0.092528103
