r,J_learned,J_learned_std,count
0.42929129,14.056931,0.83136783,768
0.72166956,14.231712,0.81842688,768
0.88458329,14.298359,0.79570659,768
1.0122814,14.298259,0.81928443,768
1.1231496,14.341864,0.82947376,768
1.2211804,14.363719,0.8378378,768
1.309404,14.352046,0.83298669,768
1.3878362,14.419552,0.8360397,768
1.4630508,14.374032,0.84704719,768
1.5361432,14.411153,0.83294532,768
1.6051022,14.396553,0.82145005,768
1.6716622,14.449945,0.83242209,768
1.7344796,14.462994,0.83133749,768
1.7979705,14.463342,0.80576366,768
1.861173,14.452772,0.84373168,768
1.9255159,14.465047,0.80572239,768
1.9875516,14.468667,0.82700388,768
2.0497411,14.485687,0.81838718,768
2.1109342,14.522536,0.7847457,768
2.1707077,14.538206,0.82124469,768
2.2314902,14.529548,0.81632719,768
2.2965058,14.581079,0.81215732,768
2.3627053,14.577123,0.79523604,768
2.4271946,14.55397,0.77356965,768
2.4894526,14.607408,0.81393893,768
2.5522557,14.596503,0.77592384,768
2.6158207,14.695782,0.78322645,768
2.6856612,14.618156,0.75661172,768
2.7583936,14.651008,0.79190464,768
2.8351182,14.689379,0.76729603,768
2.917352,14.738768,0.77171346,768
3.0033515,14.737392,0.75640186,768
3.0919314,14.773936,0.7642819,768
3.1951751,14.897676,0.72899942,768
3.2997033,14.872921,0.70032874,768
3.4230692,14.903803,0.73167296,768
3.5623076,14.997392,0.6798467,768
3.7362327,15.079974,0.68046584,768
3.9906841,15.200548,0.68683462,768
4.5503361,15.572311,0.6304056,768
