mode,mu,sr_weight,plain_weight,residual_power
1,16796.698,1,1,0.076949477
2,6959.4372,1,0.41433365,0.35804552
3,5816.4518,1,0.34628543,0.01064608
4,1601.7452,1,0.095360722,0.15662005
5,1216.822,1,0.072444121,0.072225092
6,831.27796,1,0.049490558,0.040015486
7,346.61395,1,0.020635839,0.018309401
8,146.49352,1,0.0087215669,0.1113419
9,104.58381,1,0.0062264506,0.022853221
10,91.044783,1,0.0054203977,0.026267409
11,82.444792,1,0.0049083928,0.30778012
12,74.590449,1,0.0044407805,0.3634898
13,69.147309,1,0.0041167204,0.033048061
14,61.643759,1,0.0036699927,0.0036322993
15,46.61165,1,0.0027750484,0.70523003
16,40.000412,1,0.002381445,0.49835633
17,28.166557,1,0.0016769104,0.38310327
18,26.37393,1,0.0015701854,0.081528873
19,23.285141,1,0.0013862928,1.3303406e-05
20,22.872867,1,0.0013617479,0.1401621
21,19.797481,1,0.0011786532,0.15471733
22,17.393856,1,0.0010355521,0.20671922
23,15.881375,1,0.00094550576,0.0053424593
24,14.923773,1,0.00088849447,0.0035270869
25,14.163892,1,0.00084325454,0.010136422
26,12.943365,1,0.00077058988,0.12282988
27,11.269489,1,0.00067093476,0.037959721
28,9.8441321,1,0.00058607544,0.32270863
29,7.4330928,1,0.00044253298,0.0610087
30,6.9130623,1,0.0004115727,0.11227087
31,5.9335785,1,0.00035325863,0.06053924
32,5.7440631,1,0.00034197574,0.065423671
33,4.5541611,1,0.00027113431,0.23290483
34,4.2699097,1,0.00025421126,0.14903056
35,4.0088558,1,0.00023866928,0.00050620626
36,3.5284597,1,0.00021006865,0.11823454
37,3.2476207,1,0.00019334876,0.28588796
38,2.8226685,1,0.00016804902,1.1744864
39,2.3780069,1,0.00014157586,0.5556739
40,2.2843466,1,0.00013599974,0.055733008
41,2.2278412,1,0.00013263567,0.021927928
42,2.0422122,1,0.00012158415,0.71739526
43,1.9500288,1,0.00011609596,2.7174254
44,1.7553749,1,0.00010450714,0.080681443
45,1.6489771,1,9.8172694e-05,1.0013254
46,1.5269288,1,9.0906486e-05,0.046802869
47,1.4807285,1,8.8155931e-05,0.036636018
48,1.3844458,1,8.2423692e-05,0.0018353455
49,1.301548,1,7.7488324e-05,0.056887442
50,1.2541815,1,7.4668336e-05,0.068442958
51,1.1861225,1,7.0616411e-05,0.10028344
52,1.1344159,1,6.7538032e-05,0.077537941
53,1.0928248,1,6.5061883e-05,2.7776315e-05
54,1.0145182,1,6.0399861e-05,0.00015073496
55,0.88582077,1,5.2737793e-05,0.42683587
56,0.85749281,1,5.1051273e-05,0.017002194
57,0.83152099,1,4.9505027e-05,0.1470706
58,0.74604348,1,4.441608e-05,0.39312473
59,0.70551069,1,4.200294e-05,0.67673246
60,0.673536,1,4.009931e-05,0.018001529
61,0.63780013,1,3.7971757e-05,0.0076143783
62,0.61348882,1,3.6524371e-05,0.00061204352
63,0.60272033,1,3.5883263e-05,0.75367013
64,0.56212519,1,3.3466411e-05,0.17660276
65,0.52860803,1,3.147095e-05,0.010441063
66,0.5036258,1,2.998362e-05,0.019042578
67,0.49043994,1,2.9198593e-05,0.74116868
68,0.46324457,1,2.7579502e-05,0.29436764
69,0.45255195,1,2.6942912e-05,0.010947634
70,0.43075542,1,2.5645244e-05,0.71779943
71,0.4037591,1,2.4038004e-05,0.49664715
72,0.38009088,1,2.2628905e-05,1.1288311
73,0.3516475,1,2.0935514e-05,0.16973115
74,0.33190984,1,1.9760422e-05,0.40767771
75,0.32574836,1,1.9393595e-05,0.018538811
76,0.31688311,1,1.8865798e-05,0.032532869
77,0.30635457,1,1.8238976e-05,0.12617289
78,0.29769929,1,1.7723679e-05,0.09426515
79,0.28606744,1,1.7031171e-05,0.29929092
80,0.27292041,1,1.6248456e-05,0.021054515
81,0.25424187,1,1.513642e-05,0.081169859
82,0.24044299,1,1.4314897e-05,0.0015985599
83,0.24005605,1,1.429186e-05,0.030445631
84,0.22214767,1,1.3225675e-05,0.92631222
85,0.21135471,1,1.2583111e-05,0.0062931171
86,0.19368285,1,1.1531008e-05,0.00012864482
87,0.19080863,1,1.1359889e-05,0.084094366
88,0.1838049,1,1.0942919e-05,0.21333937
89,0.16956014,1,1.009485e-05,0.69370664
90,0.163506,1,9.7344132e-06,0.033578148
91,0.15547325,1,9.2561796e-06,0.27239349
92,0.14282515,1,8.5031686e-06,1.5895771
93,0.1416147,1,8.4311038e-06,0.036152655
94,0.13068741,1,7.7805421e-06,0.019955406
95,0.1290081,1,7.6805632e-06,0.28713856
96,0.12310812,1,7.3293052e-06,0.32378689
97,0.12049729,1,7.1738679e-06,0.52558382
98,0.11203788,1,6.6702325e-06,0.30504791
99,0.10732868,1,6.3898678e-06,0.10937145
100,0.10235861,1,6.0939721e-06,0.3739373
101,0.10080042,1,6.0012047e-06,0.36713859
102,0.094531326,1,5.6279708e-06,0.73007883
103,0.09278653,1,5.5240935e-06,0.14216338
104,0.088077563,1,5.2437428e-06,0.020245996
105,0.084777583,1,5.0472768e-06,0.057269519
106,0.080807576,1,4.8109204e-06,0.24937901
107,0.075170223,1,4.4752977e-06,0.090508195
108,0.071423487,1,4.2522339e-06,0.26067873
109,0.069240999,1,4.1222983e-06,0.013978068
110,0.067686796,1,4.029768e-06,0.086478484
111,0.064617712,1,3.8470486e-06,0.087981913
112,0.063862777,1,3.8021031e-06,0.021258629
113,0.059353348,1,3.5336319e-06,0.028789473
114,0.057561027,1,3.4269252e-06,0.31409748
115,0.055252458,1,3.2894834e-06,0.42480632
116,0.053526175,1,3.1867082e-06,0.24607689
117,0.051682533,1,3.076946e-06,0.008428088
118,0.051638835,1,3.0743445e-06,0.13825019
119,0.050646764,1,3.015281e-06,0.55123255
120,0.046886102,1,2.7913881e-06,0.0948168
121,0.04532002,1,2.6981506e-06,0.24280931
122,0.044210891,1,2.632118e-06,0.089168715
123,0.04377811,1,2.6063522e-06,0.2666271
124,0.041376291,1,2.4633586e-06,0.0019125222
125,0.040452475,1,2.4083588e-06,0.036243866
126,0.039552469,1,2.3547765e-06,0.64733972
127,0.038631418,1,2.2999412e-06,0.032716978
128,0.036589315,1,2.1783636e-06,0.080457313
129,0.035665239,1,2.1233483e-06,0.056652298
130,0.03534216,1,2.1041136e-06,0.17078924
131,0.033240303,1,1.9789784e-06,0.1094681
132,0.03226157,1,1.9207091e-06,0.43816307
133,0.030799978,1,1.8336925e-06,0.75691981
134,0.030540072,1,1.8182188e-06,0.56056466
135,0.029838701,1,1.7764623e-06,0.046055198
136,0.029094389,1,1.7321493e-06,0.28331642
137,0.027980177,1,1.6658142e-06,0.049698201
138,0.027035417,1,1.6095674e-06,0.12764701
139,0.025999641,1,1.5479019e-06,1.150777
140,0.025323042,1,1.5076203e-06,0.0058869375
141,0.02487955,1,1.4812167e-06,0.0026681999
142,0.024558385,1,1.462096e-06,0.71554194
143,0.023896429,1,1.4226861e-06,0.034832575
144,0.023250161,1,1.3842102e-06,0.41031634
145,0.022674912,1,1.3499625e-06,1.9190475
146,0.021975276,1,1.3083093e-06,0.42613193
147,0.021510198,1,1.2806206e-06,0.18700476
148,0.020854581,1,1.2415882e-06,0.023238636
149,0.020336642,1,1.2107524e-06,0.028462449
150,0.020253475,1,1.205801e-06,0.091932997
151,0.019053659,1,1.1343693e-06,0.65992267
152,0.018817464,1,1.1203073e-06,0.83875938
153,0.018172355,1,1.0819004e-06,0.06275874
154,0.017902387,1,1.0658277e-06,0.062453147
155,0.017573852,1,1.0462682e-06,0.1650201
156,0.016910918,1,1.0068001e-06,0.93144221
157,0.016591461,1,9.8778112e-07,0.19303603
158,0.016416106,1,9.7734129e-07,1.2141624
159,0.015710024,1,9.3530431e-07,0.046802504
160,0.015324618,1,9.1235899e-07,0.031945465
161,0.015159899,1,9.0255235e-07,0.046641599
162,0.014754459,1,8.7841426e-07,0.47426122
163,0.014088989,1,8.3879517e-07,0.44426192
164,0.013621913,1,8.1098754e-07,0.0090814611
165,0.013405503,1,7.9810349e-07,0.72778313
166,0.013188295,1,7.8517187e-07,0.080219659
167,0.012826006,1,7.6360282e-07,0.019643649
168,0.012233496,1,7.2832746e-07,0.31188678
169,0.012115009,1,7.2127324e-07,0.24001027
170,0.011908862,1,7.0900022e-07,0.084092666
171,0.011431649,1,6.8058904e-07,0.10478327
172,0.011365695,1,6.7666248e-07,0.33552996
173,0.010981497,1,6.5378904e-07,7.0654838e-05
174,0.010751889,1,6.4011923e-07,0.24948565
175,0.010425292,1,6.2067511e-07,0.00095124352
176,0.01020435,1,6.0752119e-07,0.033321803
177,0.0098939121,1,5.8903912e-07,0.15160084
