r,J_learned,J_learned_std,count
0.44597604,14.380364,0.8606822,768
0.72785029,14.568437,0.83765193,768
0.8941378,14.632857,0.86076837,768
1.0206007,14.660338,0.85816867,768
1.1300528,14.729808,0.82983848,768
1.2242712,14.73497,0.86325939,768
1.3055947,14.748017,0.89036251,768
1.3892801,14.726145,0.88530079,768
1.4665369,14.770807,0.87198027,768
1.544731,14.818573,0.80439186,768
1.617233,14.787852,0.83041672,768
1.682805,14.802997,0.87619112,768
1.7461674,14.792925,0.85209089,768
1.8110996,14.837236,0.88444611,768
1.8749715,14.830419,0.83958744,768
1.9393627,14.872577,0.77871291,768
2.0007992,14.879139,0.86231841,768
2.0614484,14.876569,0.8215274,768
2.1208444,14.90077,0.84145875,768
2.1827528,14.928524,0.79158405,768
2.2445878,14.901874,0.83160587,768
2.3076908,14.873798,0.79470615,768
2.3721458,14.96153,0.77177863,768
2.4353888,14.954676,0.77933558,768
2.4999694,15.022178,0.81924282,768
2.5641611,14.973681,0.7990144,768
2.6334051,15.022244,0.81901795,768
2.7059222,14.998607,0.7625575,768
2.7789357,15.038949,0.77151807,768
2.8532089,15.045212,0.7657585,768
2.9338113,15.101759,0.73947153,768
3.0174417,15.180473,0.72200845,768
3.1091019,15.214369,0.72658965,768
3.21005,15.260333,0.713515,768
3.3180288,15.250728,0.73717362,768
3.4418513,15.28177,0.70500979,768
3.5901333,15.391865,0.69906737,768
3.7647549,15.42068,0.68546129,768
4.0190545,15.616916,0.68608311,768
4.5573894,15.898792,0.65219559,768
