mode,mu,sr_weight,plain_weight,residual_power
1,17695.261,1,1,0.089266025
2,7620.8177,1,0.43066997,0.26709261
3,5804.0942,1,0.32800274,0.06421263
4,1859.1811,1,0.10506661,0.21181404
5,1331.9929,1,0.075273988,6.2859644e-05
6,1257.7578,1,0.071078793,0.00929367
7,344.95895,1,0.019494425,0.055637345
8,201.75466,1,0.011401621,0.030723412
9,125.46229,1,0.007090163,0.022360007
10,102.62852,1,0.0057997742,0.51789729
11,93.883334,1,0.0053055635,0.0014373696
12,84.692303,1,0.0047861572,0.0065837398
13,78.710748,1,0.0044481257,0.0082065759
14,63.556195,1,0.003591707,0.098209135
15,62.374188,1,0.0035249091,0.022194824
16,49.347512,1,0.0027887416,0.063050105
17,37.87533,1,0.0021404222,0.011938874
18,31.7095,1,0.0017919769,0.0026361144
19,30.813374,1,0.0017413348,0.26289207
20,26.425863,1,0.0014933864,0.033853472
21,25.623551,1,0.0014480459,0.066911809
22,23.465565,1,0.0013260931,0.18844654
23,20.11933,1,0.0011369897,0.10951446
24,19.240651,1,0.0010873335,0.14115144
25,17.404517,1,0.00098356938,0.37968706
26,16.717447,1,0.00094474145,0.073065381
27,14.993204,1,0.0008473005,0.25360398
28,14.315704,1,0.00080901343,0.27961423
29,9.0851796,1,0.00051342443,0.063139765
30,8.6099179,1,0.0004865663,0.30309548
31,8.3906697,1,0.00047417608,0.075508644
32,6.3361387,1,0.0003580698,0.0044504293
33,5.4397042,1,0.00030741022,0.031040725
34,5.0182556,1,0.00028359319,0.22599624
35,4.5037009,1,0.00025451451,0.00087567419
36,4.0171167,1,0.00022701652,0.0097422343
37,3.867782,1,0.00021857727,0.040222626
38,3.7495809,1,0.00021189745,0.47552966
39,3.329201,1,0.00018814082,0.06315642
40,2.9498075,1,0.00016670042,0.13146082
41,2.8976658,1,0.00016375377,0.10594572
42,2.6487613,1,0.0001496876,0.37626699
43,2.4222881,1,0.00013688908,0.012509161
44,2.0831287,1,0.0001177224,0.71840538
45,2.0636279,1,0.00011662037,0.1414854
46,1.8895853,1,0.00010678482,0.3173797
47,1.7249779,1,9.7482477e-05,0.21658471
48,1.5819182,1,8.9397843e-05,0.0053467628
49,1.4850287,1,8.3922396e-05,1.732166
50,1.3116329,1,7.4123395e-05,0.17812718
51,1.3114952,1,7.4115614e-05,0.015695066
52,1.2304814,1,6.9537337e-05,0.82047567
53,1.140797,1,6.4469066e-05,0.56041699
54,1.0822447,1,6.1160143e-05,0.049072632
55,1.0705413,1,6.0498758e-05,0.45268357
56,1.0012137,1,5.6580893e-05,0.067115785
57,0.96116709,1,5.4317767e-05,0.11794914
58,0.89771969,1,5.0732208e-05,0.0019019073
59,0.86575936,1,4.8926057e-05,0.00019575497
60,0.74086869,1,4.1868197e-05,0.10743208
61,0.72375066,1,4.0900817e-05,0.0051806456
62,0.68999492,1,3.8993203e-05,0.25049475
63,0.66481481,1,3.7570217e-05,0.13100275
64,0.6313261,1,3.5677693e-05,0.69120005
65,0.60054525,1,3.3938196e-05,0.10697111
66,0.57718311,1,3.2617947e-05,0.019520832
67,0.55295403,1,3.1248706e-05,0.12529554
68,0.51914989,1,2.9338356e-05,0.18492294
69,0.50040662,1,2.8279131e-05,0.0232665
70,0.49287276,1,2.7853375e-05,0.25489453
71,0.48324302,1,2.7309177e-05,0.01374882
72,0.45614771,1,2.5777958e-05,0.21347934
73,0.43854015,1,2.4782915e-05,0.08173357
74,0.42242002,1,2.3871929e-05,0.025197926
75,0.40093626,1,2.2657832e-05,0.052138793
76,0.38698177,1,2.1869231e-05,0.08186359
77,0.36776661,1,2.0783339e-05,0.042175832
78,0.34490464,1,1.9491356e-05,0.28755006
79,0.32308825,1,1.8258462e-05,0.16367991
80,0.30265186,1,1.7103554e-05,0.54759031
81,0.29069786,1,1.6428006e-05,0.03724132
82,0.28278885,1,1.598105e-05,0.036001548
83,0.27655442,1,1.5628727e-05,0.13266588
84,0.27182481,1,1.5361447e-05,0.10036891
85,0.26120904,1,1.4761525e-05,0.004957517
86,0.24502562,1,1.3846962e-05,0.55079973
87,0.23473994,1,1.3265695e-05,3.1163939e-05
88,0.23106348,1,1.305793e-05,0.04322729
89,0.22005137,1,1.243561e-05,0.11953092
90,0.21254667,1,1.2011502e-05,0.35832614
91,0.20114217,1,1.1367007e-05,0.016681472
92,0.19737075,1,1.1153876e-05,0.019831725
93,0.18240248,1,1.0307985e-05,0.063511701
94,0.17624579,1,9.9600556e-06,0.0010914716
95,0.16841816,1,9.5176982e-06,1.0411523
96,0.16165583,1,9.1355436e-06,0.039421862
97,0.15458237,1,8.7358059e-06,0.16822109
98,0.14556534,1,8.2262327e-06,0.12561961
99,0.13449779,1,7.6007798e-06,0.053425318
100,0.12712775,1,7.1842823e-06,0.011780448
101,0.12425772,1,7.0220899e-06,0.00010454239
102,0.11308715,1,6.3908152e-06,0.14104502
103,0.1092048,1,6.1714148e-06,0.12810431
104,0.10566264,1,5.9712395e-06,0.018797455
105,0.09902309,1,5.596023e-06,0.016763275
106,0.096404314,1,5.4480299e-06,0.40877826
107,0.094011784,1,5.3128225e-06,0.046807197
108,0.090269491,1,5.101337e-06,0.27966819
109,0.086820996,1,4.9064545e-06,2.0234056e-07
110,0.080298112,1,4.5378313e-06,0.1126192
111,0.078221991,1,4.4205049e-06,0.015204126
112,0.077113142,1,4.3578414e-06,0.15167889
113,0.075659506,1,4.275693e-06,0.31508596
114,0.072005101,1,4.0691741e-06,0.14272253
115,0.071386005,1,4.0341876e-06,0.14434627
116,0.063958199,1,3.6144252e-06,0.7343336
117,0.063209584,1,3.5721193e-06,0.0023383253
118,0.061480476,1,3.4744034e-06,0.24282689
119,0.060150311,1,3.3992327e-06,0.31577931
120,0.058199741,1,3.2890015e-06,0.045441164
121,0.055453038,1,3.133779e-06,0.015785571
122,0.054239525,1,3.0652006e-06,0.006146499
123,0.05306738,1,2.9989599e-06,0.68451203
124,0.051540074,1,2.9126483e-06,0.17287353
125,0.048712485,1,2.7528548e-06,0.0032225574
126,0.04620039,1,2.6108905e-06,0.0048692296
127,0.045387468,1,2.5649504e-06,0.040809553
128,0.04492091,1,2.5385841e-06,0.89145328
129,0.043529968,1,2.4599788e-06,0.0045666335
130,0.042637534,1,2.4095453e-06,0.61867257
131,0.041525366,1,2.3466941e-06,0.21198245
132,0.040500373,1,2.2887694e-06,0.0098486092
133,0.039602256,1,2.2380148e-06,0.010724156
134,0.038334565,1,2.1663746e-06,0.10072806
135,0.037049763,1,2.0937675e-06,0.21778518
136,0.035866776,1,2.0269141e-06,0.011359633
137,0.034905313,1,1.9725796e-06,0.31706556
138,0.034219884,1,1.9338445e-06,0.058899733
139,0.033243754,1,1.8786811e-06,0.19619059
140,0.032206424,1,1.8200592e-06,0.028490261
141,0.03085067,1,1.7434425e-06,0.018829531
142,0.029839887,1,1.6863208e-06,0.091758462
143,0.028532295,1,1.6124257e-06,0.0231334
144,0.028071821,1,1.5864033e-06,0.26319789
145,0.027822439,1,1.5723101e-06,0.20921864
146,0.027286466,1,1.5420211e-06,0.86050761
147,0.027003953,1,1.5260556e-06,0.018318031
148,0.026544019,1,1.5000637e-06,0.1688359
149,0.024976483,1,1.4114786e-06,0.12228366
150,0.024906143,1,1.4075035e-06,0.13701632
151,0.024643675,1,1.3926708e-06,3.0227049e-05
152,0.023809105,1,1.3455074e-06,0.022248004
153,0.023401324,1,1.3224627e-06,0.018082427
154,0.022179258,1,1.253401e-06,0.28423316
155,0.021293416,1,1.20334e-06,0.00018895763
156,0.021175047,1,1.1966507e-06,0.11530916
157,0.020769584,1,1.173737e-06,0.0015798542
158,0.020302214,1,1.1473249e-06,0.026701246
159,0.01971785,1,1.1143012e-06,0.1112956
160,0.019613792,1,1.1084206e-06,0.28075912
161,0.019114398,1,1.0801987e-06,0.00039542619
162,0.017902239,1,1.0116968e-06,0.07723134
163,0.017775944,1,1.0045596e-06,2.8564459e-06
164,0.017534306,1,9.9090406e-07,0.078409749
165,0.016963602,1,9.5865223e-07,0.35336246
166,0.016447591,1,9.2949125e-07,0.00076378566
167,0.016063611,1,9.0779165e-07,1.3284023
168,0.015681684,1,8.8620809e-07,0.59246569
169,0.015388832,1,8.6965838e-07,0.72427193
170,0.015028346,1,8.4928647e-07,0.38990593
171,0.014662266,1,8.2859845e-07,0.1270293
172,0.014524212,1,8.2079671e-07,0.42019001
173,0.013690564,1,7.7368533e-07,0.023140597
174,0.013391809,1,7.5680197e-07,0.02644319
175,0.012911789,1,7.2967494e-07,0.0014923681
