index,eigenvalue
1,3.713321
2,0.081277934
3,0.065891504
4,0.050258694
5,0.010787122
6,0.0032021159
7,0.0023708627
8,0.002128346
9,0.0011228725
10,0.0010443319
11,0.00078958904
12,0.0003027708
13,9.8609474e-05
14,6.6078377e-05
15,5.938761e-05
16,4.9039573e-05
17,3.997429e-05
18,3.3316284e-05
19,3.2216397e-05
20,2.7863711e-05
21,1.7672009e-05
22,1.15632e-05
23,1.1033052e-05
24,9.9735807e-06
25,9.287631e-06
26,7.1579593e-06
27,6.6317324e-06
28,4.150817e-06
29,3.7898448e-06
30,3.3624841e-06
31,2.7777288e-06
32,2.5190989e-06
33,1.9910311e-06
34,1.7250959e-06
35,1.3934007e-06
36,1.1291942e-06
37,1.0668011e-06
38,9.7447424e-07
39,7.4857456e-07
40,6.5414017e-07
41,4.6849134e-07
42,3.1144892e-07
43,2.31909e-07
44,2.1650108e-07
45,1.735632e-07
46,1.567174e-07
47,1.301825e-07
48,1.1350289e-07
49,1.0327532e-07
50,9.7292616e-08
51,8.3913247e-08
52,6.9616959e-08
53,6.2439497e-08
54,5.7940726e-08
55,4.9111475e-08
56,4.6763115e-08
57,4.2795587e-08
58,3.9591576e-08
59,3.6837442e-08
60,3.0496261e-08
61,2.7649378e-08
62,2.6431641e-08
63,2.308557e-08
64,2.0998838e-08
65,1.9106717e-08
66,1.6384913e-08
67,1.4619776e-08
68,1.3640562e-08
69,1.2114776e-08
70,1.0863284e-08
71,9.5807008e-09
72,8.6085587e-09
73,8.0911868e-09
74,6.3619306e-09
75,5.8404188e-09
76,5.7526559e-09
77,4.7936422e-09
78,4.4229866e-09
79,4.1669364e-09
80,3.5554407e-09
81,3.363504e-09
82,2.9837764e-09
83,2.763309e-09
84,2.4230372e-09
85,2.2759295e-09
86,2.1971712e-09
87,1.8564855e-09
88,1.5725246e-09
89,1.450997e-09
90,1.361478e-09
91,1.3374548e-09
92,1.1602156e-09
93,1.1263627e-09
94,1.0397225e-09
95,8.8312611e-10
96,8.4248255e-10
97,8.0962113e-10
98,7.6241806e-10
99,6.8292949e-10
100,6.1578645e-10
101,5.5648112e-10
102,5.1987658e-10
103,5.003076e-10
104,4.4242494e-10
105,4.3188253e-10
106,3.8219727e-10
107,3.584986e-10
108,3.4392119e-10
109,3.3422342e-10
110,2.9885666e-10
111,2.7906315e-10
112,2.7204788e-10
113,2.3987197e-10
114,2.2612405e-10
115,2.0097191e-10
116,1.908014e-10
117,1.6901875e-10
118,1.5634855e-10
119,1.4643709e-10
120,1.3767456e-10
121,1.3307941e-10
122,1.2714534e-10
123,1.197613e-10
124,1.1062153e-10
125,1.0650384e-10
126,1.025319e-10
127,9.3473333e-11
128,8.3170468e-11
129,7.8332153e-11
130,6.4406199e-11
131,6.3843656e-11
