r,J_learned,J_learned_std,count,J_exact
0.3288247,0.34439743,0.083141921,52,-0.65597145
0.52130026,0.48149843,0.024979124,51,-0.52070089
0.63045109,0.55057693,0.015839042,51,-0.45140956
0.71967785,0.60365128,0.013556734,51,-0.39812928
0.79935281,0.64881072,0.010865127,51,-0.35283924
0.86045738,0.6821035,0.0088550238,52,-0.31944391
0.91566844,0.71124634,0.0094996452,51,-0.29019966
0.97105112,0.7396929,0.0082213798,51,-0.2616993
1.0215083,0.76492232,0.0068946975,51,-0.23642236
1.0689527,0.78805254,0.0075660977,51,-0.21322374
1.1170262,0.81097987,0.0058184646,51,-0.19025388
1.1623986,0.83213252,0.0055439852,52,-0.1690482
1.2082751,0.85307174,0.0061918968,51,-0.14805456
1.2487939,0.87119293,0.006320836,51,-0.12987227
1.2986188,0.89304916,0.0065644628,51,-0.10795783
1.3481234,0.91432087,0.0053483964,51,-0.086649838
1.4005559,0.93635562,0.0066025631,51,-0.064565934
1.4536379,0.95818823,0.0059493176,52,-0.042694511
1.5001476,0.97693191,0.0053451771,51,-0.023916519
1.5426553,0.99378663,0.0048644767,51,-0.0070573255
1.578671,1.0078319,0.0039413397,51,0.0070078773
1.6206167,1.0239325,0.0045160802,51,0.023143404
1.6749415,1.0444215,0.0078220811,52,0.043661219
1.7292888,1.0645131,0.0047077677,51,0.063774779
1.7809562,1.083236,0.0051873252,51,0.082528573
1.8302369,1.1007941,0.0054431539,51,0.10009414
1.8849467,1.1198996,0.0059839462,51,0.11924016
1.9402488,1.1388544,0.0055261188,51,0.13822795
1.9926641,1.1564895,0.0042280148,52,0.15589773
2.0450478,1.1737982,0.005646224,51,0.1732503
2.1170872,1.1971403,0.0069787528,51,0.19663269
2.180379,1.2172048,0.0056917481,51,0.21673411
2.257905,1.2412383,0.0078728623,51,0.24081808
2.3332254,1.264061,0.0063423115,51,0.26367414
2.424514,1.2910531,0.0093736343,52,0.29069327
2.5297638,1.321319,0.010761856,51,0.32096467
2.6688676,1.359991,0.00926307,51,0.35961677
2.8055912,1.3965666,0.011210803,51,0.39620504
2.9939352,1.4448002,0.016930931,51,0.44451071
3.4910145,1.5602194,0.072768344,52,0.56181232
