mode,mu,sr_weight,plain_weight,residual_power
1,3802.4407,1,1,0.00015658821
2,83.228605,1,0.021888206,5.0427443e-05
3,67.4729,1,0.017744629,8.1891368e-07
4,51.464902,1,0.013534702,6.2843805e-08
5,11.046013,1,0.0029049796,0.00059896414
6,3.2789666,1,0.00086233208,1.5725879e-05
7,2.4277634,1,0.00063847502,5.9079658e-06
8,2.1794263,1,0.00057316509,4.3251024e-08
9,1.1498214,1,0.00030239037,5.2034405e-05
10,1.0693959,1,0.00028123933,8.6401171e-06
11,0.80853918,1,0.00021263689,1.8209602e-06
12,0.3100373,1,8.1536391e-05,0.00076968141
13,0.1009761,1,2.6555602e-05,2.171324e-05
14,0.067664258,1,1.7794954e-05,9.9232248e-06
15,0.060812913,1,1.5993126e-05,3.0519404e-05
16,0.050216523,1,1.3206392e-05,1.1452377e-05
17,0.040933673,1,1.0765105e-05,1.2188898e-05
18,0.034115874,1,8.9720989e-06,0.00010913479
19,0.032989591,1,8.6758987e-06,5.0879721e-07
20,0.02853244,1,7.5037172e-06,0.00013263355
21,0.018096138,1,4.7590847e-06,0.0001859244
22,0.011840716,1,3.1139779e-06,5.2345854e-05
23,0.011297845,1,2.9712086e-06,0.0001330439
24,0.010212947,1,2.6858924e-06,0.00034575272
25,0.0095105341,1,2.5011656e-06,0.0010882111
26,0.0073297503,1,1.9276435e-06,5.866307e-05
27,0.006790894,1,1.7859303e-06,1.4648312e-05
28,0.0042504366,1,1.117818e-06,6.035635e-06
29,0.0038808011,1,1.0206079e-06,3.6713807e-05
30,0.0034431837,1,9.0551937e-07,1.2788614e-07
31,0.0028443943,1,7.4804435e-07,1.6656369e-06
32,0.0025795572,1,6.7839512e-07,9.6985911e-07
33,0.0020388159,1,5.3618609e-07,0.0001352541
34,0.0017664982,1,4.6456956e-07,0.00013398068
35,0.0014268423,1,3.752438e-07,3.8326852e-05
36,0.0011562949,1,3.0409281e-07,0.00012849496
37,0.0010924043,1,2.872903e-07,4.0247115e-06
38,0.00099786162,1,2.6242661e-07,3.1510057e-06
39,0.00076654035,1,2.0159166e-07,2.6453164e-06
40,0.00066983953,1,1.7616041e-07,1.6412181e-06
41,0.00047973513,1,1.2616505e-07,3.2076526e-06
42,0.0003189237,1,8.3873416e-08,1.0290257e-06
43,0.00023747482,1,6.2453259e-08,5.4388799e-05
44,0.0002216971,1,5.8303894e-08,3.711629e-07
45,0.00017772872,1,4.6740694e-08,0.00028098012
46,0.00016047862,1,4.2204107e-08,0.0002492412
47,0.00013330688,1,3.505824e-08,1.2397254e-05
48,0.00011622696,1,3.0566409e-08,1.1105153e-05
49,0.00010575393,1,2.7812119e-08,6.0205527e-06
50,9.9627639e-05,1,2.6200971e-08,8.8137942e-05
51,8.5927165e-05,1,2.2597897e-08,0.00024246302
52,7.1287766e-05,1,1.8747897e-08,2.7712533e-05
53,6.3938045e-05,1,1.6815001e-08,9.800607e-05
54,5.9331304e-05,1,1.5603479e-08,0.00029311362
55,5.029015e-05,1,1.3225755e-08,1.6570678e-05
56,4.788543e-05,1,1.259334e-08,2.9192782e-07
57,4.3822681e-05,1,1.1524882e-08,6.0658568e-07
58,4.0541774e-05,1,1.066204e-08,3.3944153e-06
59,3.7721541e-05,1,9.9203495e-09,4.281981e-06
60,3.1228172e-05,1,8.2126649e-09,0.00060317252
61,2.8312963e-05,1,7.4459971e-09,2.7416406e-05
62,2.7066e-05,1,7.1180597e-09,6.5806849e-06
63,2.3639624e-05,1,6.2169605e-09,2.2512252e-07
64,2.150281e-05,1,5.6550019e-09,0.00019634652
65,1.9565278e-05,1,5.1454525e-09,0.00025034971
66,1.6778151e-05,1,4.4124686e-09,1.1438646e-05
67,1.4970651e-05,1,3.9371162e-09,5.4671376e-05
68,1.3967935e-05,1,3.6734129e-09,0.00019312779
69,1.240553e-05,1,3.2625177e-09,8.058578e-06
70,1.1124003e-05,1,2.9254902e-09,1.4317877e-06
71,9.8106376e-06,1,2.5800895e-09,9.5891968e-06
72,8.8151641e-06,1,2.318291e-09,1.1666071e-05
73,8.2853753e-06,1,2.1789624e-09,7.6199801e-06
74,6.5146169e-06,1,1.7132724e-09,3.8980542e-05
75,5.9805888e-06,1,1.5728289e-09,6.9225094e-06
76,5.8907196e-06,1,1.5491943e-09,3.087303e-07
77,4.9086896e-06,1,1.2909312e-09,0.00011055323
78,4.5291383e-06,1,1.1911134e-09,1.3004793e-05
79,4.2669429e-06,1,1.1221589e-09,0.00031516555
