r,J_learned,J_learned_std,count
15.573112,67.716332,3.011208,1536
19.625628,68.327645,3.0900989,1536
21.754186,68.773517,3.0376833,1536
23.405546,68.846678,3.0943256,1536
24.736545,69.102413,3.0930845,1536
25.892657,69.246983,3.050551,1536
26.981314,69.273876,3.1296887,1536
27.996459,69.517566,3.0372942,1536
29.012303,69.65311,3.1367627,1536
29.94411,69.593446,3.1504723,1536
30.849622,69.688011,3.084646,1536
31.721761,69.805113,3.1525196,1536
32.582467,69.900073,3.0465419,1536
33.451757,69.83501,3.23104,1536
34.328029,70.073383,3.2155286,1536
35.180054,69.936542,3.1523498,1536
36.07907,69.882259,3.2095942,1536
36.9984,69.804685,3.2076647,1536
37.983778,70.225265,3.3469953,1536
39.030701,70.01649,3.3216071,1536
40.068743,69.939935,3.3862622,1536
41.135213,69.91596,3.3082795,1536
42.225023,69.933666,3.3118338,1536
43.392667,69.8783,3.3090596,1536
44.608973,69.561814,3.3099789,1536
45.874056,69.609635,3.2897291,1536
47.150645,69.552593,3.2137002,1536
48.456643,69.544384,3.2412396,1536
49.771644,69.598041,2.9875185,1536
51.149728,69.727234,3.0040063,1536
52.519041,69.79324,3.0213727,1536
53.892493,69.947724,2.9313225,1536
55.305202,70.059809,2.8857296,1536
56.777295,70.17891,2.9199934,1536
58.322126,70.371562,2.8110738,1536
59.985069,70.722575,2.9002197,1536
61.849791,70.973279,2.7260465,1536
64.13388,71.290704,2.8677251,1536
67.201828,71.848452,2.7091071,1536
73.42879,72.864455,2.8483161,1536
