r,J_learned,J_learned_std,count
15.466492,94.705118,2.958377,1536
19.403431,95.391857,2.9320244,1536
21.540334,95.555744,2.982357,1536
23.141548,95.875348,2.8965936,1536
24.462225,95.871776,2.9280784,1536
25.654274,96.071756,2.9615862,1536
26.775151,96.111401,3.0256206,1536
27.813138,96.288568,3.0596973,1536
28.828353,96.387073,3.0413039,1536
29.765381,96.300856,2.99747,1536
30.668857,96.622756,3.065783,1536
31.566077,96.677506,3.0450717,1536
32.470294,96.527787,3.0996722,1536
33.372206,96.594885,3.0253535,1536
34.298071,96.574162,2.9706192,1536
35.223614,96.465029,3.0982527,1536
36.158818,96.818882,3.1112902,1536
37.136767,96.697165,3.1102795,1536
38.107541,96.597924,3.0276798,1536
39.159025,96.447691,3.1510309,1536
40.253782,96.602035,2.9618742,1536
41.359006,96.645977,3.0770523,1536
42.444441,96.655086,3.0582582,1536
43.574922,96.508284,3.1465343,1536
44.732788,96.447302,3.0991261,1536
45.879781,96.449043,3.1198619,1536
47.061024,96.542041,2.9953635,1536
48.315553,96.461501,2.9215974,1536
49.583628,96.553221,2.9965498,1536
50.909845,96.629889,2.9549509,1536
52.236424,96.650317,2.8693479,1536
53.543588,96.712293,2.8735465,1536
54.962839,96.977153,2.8864906,1536
56.483222,96.939258,2.8605912,1536
58.031379,97.277036,2.7499254,1536
59.709766,97.418377,2.7303977,1536
61.674705,97.640766,2.607218,1536
63.901206,97.95064,2.6677763,1536
66.917128,98.410834,2.5529442,1536
73.127476,99.38998,2.6111789,1536
