mode,mu,sr_weight,plain_weight,residual_power
1,350155.36,1,1,0.00015309313
2,177039.46,1,0.5056026,3.109513e-08
3,43106.807,1,0.12310766,1.1748015e-05
4,38031.692,1,0.10861376,0.00023256874
5,34243.481,1,0.097795105,6.179452e-05
6,15532.132,1,0.044357831,2.9993521e-05
7,6676.5165,1,0.019067297,0.00013680311
8,4736.6431,1,0.013527261,2.6528873e-05
9,4336.6913,1,0.012385049,9.41448e-07
10,3965.3483,1,0.01132454,5.2581504e-05
11,3477.4174,1,0.0099310699,6.1133498e-05
12,3356.1586,1,0.0095847699,9.1367146e-06
13,3189.8245,1,0.0091097404,4.1844028e-05
14,2491.8345,1,0.0071163682,1.9762431e-05
15,2177.2163,1,0.006217858,4.8454691e-05
16,1968.8514,1,0.0056227938,4.2192956e-06
17,1799.6519,1,0.0051395812,1.746569e-05
18,1454.6011,1,0.0041541592,3.7524483e-05
19,1297.8923,1,0.0037066183,1.0632445e-08
20,1199.454,1,0.0034254908,3.0049096e-05
21,985.49152,1,0.0028144407,3.6858961e-05
22,849.09803,1,0.002424918,2.0588358e-05
23,837.35728,1,0.0023913878,1.5876002e-05
24,751.55687,1,0.0021463526,2.6079997e-06
25,704.60821,1,0.0020122731,7.1937395e-12
26,657.10866,1,0.0018766203,5.1582941e-05
27,599.44489,1,0.0017119398,0.00027746693
28,588.07144,1,0.0016794586,1.9135197e-06
29,560.4892,1,0.0016006872,6.8979731e-06
30,548.34233,1,0.0015659972,0.00010629759
31,509.27384,1,0.0014544225,0.00010177563
32,491.44729,1,0.0014035121,3.9461232e-07
33,459.98128,1,0.0013136491,4.8123356e-05
34,420.78182,1,0.0012017003,5.1558482e-05
35,366.83019,1,0.0010476212,1.0704559e-05
36,340.36189,1,0.00097203105,3.6260299e-05
37,328.03568,1,0.00093682894,6.482936e-11
38,297.64754,1,0.00085004422,1.4256025e-05
39,257.30886,1,0.00073484198,2.7627286e-05
40,244.99184,1,0.0006996661,1.0644375e-05
41,228.0788,1,0.00065136457,9.4912391e-05
42,216.4399,1,0.00061812534,2.0183966e-05
43,211.6806,1,0.00060453336,1.9530638e-06
44,190.49042,1,0.00054401687,2.8062572e-06
45,186.23766,1,0.00053187151,1.4412101e-05
46,179.47513,1,0.00051255857,0.00018101396
47,152.51826,1,0.0004355731,5.2951703e-05
48,145.51481,1,0.00041557213,2.475657e-08
49,142.48269,1,0.00040691278,8.2874916e-06
50,132.22148,1,0.00037760803,1.51136e-05
51,129.39284,1,0.00036952979,0.00016360979
52,117.66379,1,0.00033603308,1.0525179e-07
53,115.31184,1,0.00032931622,6.6845812e-05
54,105.07076,1,0.00030006896,8.5064141e-06
55,101.11384,1,0.00028876849,4.2420039e-05
56,95.715806,1,0.00027335239,8.4436178e-05
57,89.647988,1,0.00025602346,3.8804824e-07
58,88.150214,1,0.00025174601,5.1733414e-05
59,83.049374,1,0.00023717864,7.4066621e-05
60,80.785477,1,0.00023071324,1.5252283e-05
61,76.788738,1,0.00021929905,1.3804186e-05
62,75.029165,1,0.00021427393,4.9432044e-05
63,73.397907,1,0.00020961526,3.2382421e-06
64,70.116073,1,0.00020024275,0.00012143427
65,66.47351,1,0.00018984004,4.6747771e-06
66,65.743339,1,0.00018775477,1.0119708e-07
67,63.714309,1,0.00018196011,7.9350465e-05
68,62.179341,1,0.00017757643,1.5102725e-05
69,60.724144,1,0.00017342057,3.9304081e-06
70,57.381002,1,0.00016387298,1.9493662e-07
71,55.168615,1,0.00015755468,4.7301275e-08
72,50.896792,1,0.00014535488,4.7116864e-05
73,48.996069,1,0.00013992666,7.7843254e-06
74,47.950939,1,0.0001369419,1.0793599e-05
75,45.81573,1,0.000130844,1.4321774e-05
76,44.76731,1,0.00012784985,1.0760895e-06
77,43.729581,1,0.00012488622,5.7402558e-05
78,43.170808,1,0.00012329044,5.6881774e-05
79,41.925392,1,0.00011973368,3.4419066e-06
80,37.784335,1,0.00010790734,0.00015554625
81,37.623283,1,0.0001074474,1.4688159e-05
82,35.164341,1,0.00010042497,2.770089e-06
83,33.94342,1,9.6938169e-05,2.1052599e-05
84,32.902916,1,9.3966619e-05,5.5123148e-05
85,32.026211,1,9.146286e-05,8.3866188e-06
86,31.369704,1,8.9587958e-05,2.5794552e-06
87,30.777616,1,8.7897029e-05,3.400014e-05
88,28.365178,1,8.1007406e-05,9.3727674e-06
89,28.198067,1,8.0530158e-05,3.2868531e-05
90,26.668102,1,7.6160769e-05,3.5155615e-05
91,25.806758,1,7.3700879e-05,0.00011830382
92,25.748964,1,7.3535826e-05,1.9301182e-06
93,25.200737,1,7.1970158e-05,2.0377777e-05
94,24.081259,1,6.877307e-05,7.000248e-06
95,23.906407,1,6.8273713e-05,6.0569542e-06
96,21.96653,1,6.2733668e-05,6.002331e-06
97,21.641817,1,6.1806328e-05,5.4304952e-05
98,20.026559,1,5.7193352e-05,1.1875861e-05
99,19.278477,1,5.5056924e-05,2.9596039e-05
100,18.831783,1,5.378122e-05,1.0710622e-05
101,18.262144,1,5.2154402e-05,3.68543e-05
102,17.91911,1,5.1174742e-05,1.1245565e-05
103,17.155135,1,4.8992923e-05,2.6789286e-09
104,16.232653,1,4.6358431e-05,3.9491962e-05
105,15.827757,1,4.5202096e-05,6.9309359e-07
106,15.16362,1,4.3305407e-05,0.00010939073
107,14.786227,1,4.2227618e-05,4.2123397e-06
108,14.589019,1,4.1664416e-05,1.1696003e-05
109,14.085508,1,4.0226451e-05,1.726933e-07
110,13.864614,1,3.9595607e-05,2.4641959e-06
111,13.155528,1,3.7570545e-05,2.2266251e-05
112,12.731313,1,3.6359041e-05,2.3526798e-05
113,12.372851,1,3.5335318e-05,6.0497082e-05
114,12.108844,1,3.4581347e-05,5.0332673e-05
115,11.64816,1,3.3265691e-05,4.840557e-07
116,11.422207,1,3.2620397e-05,9.5099352e-06
117,11.23821,1,3.2094926e-05,1.4117552e-05
118,11.001351,1,3.1418484e-05,1.067866e-05
119,10.681204,1,3.0504185e-05,2.0279826e-05
120,10.391103,1,2.9675694e-05,7.3486696e-06
121,9.9227913,1,2.8338253e-05,4.1263737e-07
122,9.5600253,1,2.7302239e-05,1.3413362e-08
123,9.305564,1,2.6575529e-05,7.957658e-05
124,9.2036653,1,2.6284519e-05,6.8504107e-05
125,9.0866266,1,2.5950271e-05,0.00019995405
126,8.8036023,1,2.5141989e-05,1.8867312e-06
127,8.5717886,1,2.4479958e-05,6.5286422e-05
128,8.2755762,1,2.3634012e-05,1.0229907e-05
129,8.1594315,1,2.3302317e-05,0.00014889987
130,7.9031536,1,2.257042e-05,3.9819807e-05
131,7.7446664,1,2.21178e-05,4.5928443e-05
132,7.7037418,1,2.2000925e-05,3.0616096e-06
133,7.4788065,1,2.1358538e-05,4.9515664e-05
134,7.2931225,1,2.0828247e-05,5.8068517e-08
135,7.2061543,1,2.0579877e-05,8.0908947e-05
136,6.9069405,1,1.972536e-05,2.2901993e-05
137,6.7942683,1,1.9403582e-05,2.9475022e-05
138,6.5380423,1,1.8671833e-05,1.1346547e-06
139,6.4072253,1,1.8298235e-05,3.1765454e-05
140,6.2815582,1,1.7939346e-05,2.281848e-07
141,6.1812647,1,1.765292e-05,6.0751656e-05
142,6.0438045,1,1.7260351e-05,6.8124917e-05
143,5.9671653,1,1.7041479e-05,3.5451366e-05
144,5.8232983,1,1.6630613e-05,6.7333813e-07
145,5.6810262,1,1.6224301e-05,0.00017421232
146,5.5462352,1,1.5839355e-05,4.4584328e-06
147,5.3910389,1,1.5396134e-05,0.0004426713
148,5.328646,1,1.5217948e-05,1.2159409e-05
149,5.1987328,1,1.4846932e-05,5.8743824e-05
150,5.0152476,1,1.4322921e-05,2.4367691e-05
151,4.9178938,1,1.4044891e-05,7.5123899e-08
152,4.6947555,1,1.3407636e-05,3.7603686e-05
153,4.61107,1,1.316864e-05,0.00010817195
154,4.5268324,1,1.2928068e-05,0.00010598746
155,4.3776382,1,1.2501988e-05,2.7064608e-05
156,4.3076797,1,1.2302195e-05,7.4318842e-05
157,4.2703328,1,1.2195537e-05,2.2080428e-05
158,4.1395279,1,1.1821975e-05,2.8733821e-05
159,4.089184,1,1.1678199e-05,1.0241405e-06
160,3.9844374,1,1.1379056e-05,1.1648835e-08
161,3.9572362,1,1.1301373e-05,1.7301394e-05
162,3.8778631,1,1.1074693e-05,3.8718434e-10
163,3.7651765,1,1.0752874e-05,4.4019987e-07
164,3.6458811,1,1.0412181e-05,3.485175e-05
165,3.5715273,1,1.0199836e-05,9.254565e-07
166,3.5144156,1,1.0036732e-05,0.00020255744
167,3.454638,1,9.8660149e-06,2.9498005e-05
168,3.3695327,1,9.6229646e-06,4.9899245e-05
169,3.3220525,1,9.4873671e-06,1.4921084e-06
170,3.2723454,1,9.3454099e-06,6.9784449e-07
171,3.1774782,1,9.0744809e-06,1.0365858e-05
172,3.1464728,1,8.9859333e-06,4.1543891e-05
173,3.0910719,1,8.8277155e-06,2.3542006e-06
174,2.9806119,1,8.5122553e-06,5.4781964e-05
175,2.9176398,1,8.3324148e-06,2.3173497e-05
176,2.8617418,1,8.1727774e-06,0.000130324
177,2.7494022,1,7.8519495e-06,1.0216768e-06
178,2.6844984,1,7.6665924e-06,1.9244662e-05
179,2.5849849,1,7.382394e-06,5.023926e-06
180,2.5522631,1,7.2889447e-06,0.00035149791
181,2.5272091,1,7.2173937e-06,4.5129279e-05
182,2.4867885,1,7.1019573e-06,4.4106196e-05
183,2.4021033,1,6.8601072e-06,4.4937984e-06
184,2.3662122,1,6.7576067e-06,1.1033972e-05
185,2.3511902,1,6.7147057e-06,2.6159621e-08
186,2.2746048,1,6.4959874e-06,0.0001279923
187,2.2342507,1,6.3807411e-06,2.7168322e-06
188,2.202783,1,6.2908732e-06,5.9383022e-05
189,2.1977606,1,6.2765299e-06,5.793879e-07
190,2.1415295,1,6.1159408e-06,1.8779821e-06
191,2.1055889,1,6.0132991e-06,0.00024141596
192,2.0356157,1,5.8134642e-06,1.8568508e-05
193,2.0107919,1,5.7425707e-06,9.8831586e-06
194,1.9638039,1,5.6083786e-06,1.8463872e-06
195,1.9116328,1,5.4593846e-06,8.3775926e-05
196,1.8881418,1,5.3922972e-06,3.1811917e-05
197,1.8633887,1,5.3216054e-06,8.461317e-05
198,1.839354,1,5.2529655e-06,0.00011893606
199,1.7886418,1,5.1081375e-06,1.6513729e-05
200,1.7521007,1,5.0037807e-06,2.1537169e-07
201,1.7153842,1,4.8989231e-06,4.9498566e-05
202,1.705233,1,4.8699327e-06,7.7094828e-06
203,1.6527609,1,4.7200787e-06,4.4295144e-06
204,1.6082212,1,4.5928789e-06,6.8836562e-06
205,1.5885821,1,4.5367921e-06,4.1185408e-05
206,1.5841904,1,4.5242499e-06,1.6628418e-06
207,1.512536,1,4.3196141e-06,7.0770987e-05
208,1.4931831,1,4.2643444e-06,2.4446956e-05
209,1.4699088,1,4.1978761e-06,1.8104739e-06
210,1.442412,1,4.1193485e-06,5.8122777e-05
211,1.4155462,1,4.0426233e-06,0.00013241569
212,1.3960447,1,3.9869293e-06,9.4535329e-06
213,1.3637465,1,3.8946896e-06,6.7559743e-06
214,1.3218714,1,3.7750996e-06,1.6788332e-06
215,1.3124182,1,3.7481025e-06,0.00013677438
216,1.2622602,1,3.6048577e-06,0.00022994678
217,1.2543954,1,3.5823968e-06,0.00012731994
218,1.2255224,1,3.499939e-06,1.7781861e-06
219,1.2049023,1,3.4410505e-06,9.2948735e-05
220,1.2003771,1,3.4281271e-06,1.5794734e-05
221,1.1816007,1,3.3745042e-06,8.8296122e-05
222,1.1585244,1,3.308601e-06,3.9003965e-05
