mode,mu,sr_weight,plain_weight,residual_power
1,188368.93,1,1,1.6891237e-05
2,16594.038,1,0.088093284,6.8440177e-05
3,8665.4874,1,0.046002743,0.0060447995
4,7648.503,1,0.040603846,0.0011036247
5,6068.1574,1,0.032214216,0.002291916
6,5417.2498,1,0.028758723,0.0012963144
7,4817.1129,1,0.025572757,0.00095805617
8,4259.6157,1,0.022613155,0.0022451618
9,4126.1582,1,0.021904665,0.0018620596
10,3750.9295,1,0.019912677,0.0015756666
11,3644.7138,1,0.019348806,0.0030629941
12,2546.7679,1,0.013520106,0.0031199367
13,2297.1507,1,0.012194956,0.0020614231
14,2112.3443,1,0.011213868,0.0060734516
15,1944.8464,1,0.010324667,0.00090955505
16,1593.3897,1,0.0084588773,2.7600868e-05
17,1492.6115,1,0.0079238732,0.0010841936
18,1430.507,1,0.007594177,0.0042572005
19,1350.6862,1,0.0071704299,0.00048029109
20,1211.7683,1,0.0064329521,0.0039987466
21,1142.7412,1,0.006066506,0.0012824245
22,1098.2656,1,0.0058303967,2.14076e-06
23,984.03098,1,0.0052239559,0.00039670497
24,913.76112,1,0.0048509121,0.00067476113
25,844.02124,1,0.0044806819,4.5166023e-05
26,790.09502,1,0.004194402,0.0039524784
27,730.36947,1,0.0038773352,2.222977e-05
28,716.03034,1,0.0038012126,1.233038e-06
29,687.1998,1,0.003648159,0.0028747592
30,674.56842,1,0.0035811024,0.0009689858
31,636.13998,1,0.0033770961,0.00034445682
32,570.01026,1,0.0030260312,0.00062818858
33,538.7644,1,0.0028601554,0.003534426
34,523.8186,1,0.0027808121,6.1396581e-10
35,513.61657,1,0.0027266523,0.00035243071
36,479.84936,1,0.0025473912,0.00014532964
37,440.24413,1,0.0023371377,0.00032007765
38,420.65517,1,0.0022331452,0.00015982418
39,385.85881,1,0.0020484207,0.00096007741
40,351.63004,1,0.0018667093,0.0010556469
41,341.94309,1,0.0018152839,1.6452614e-05
42,317.14095,1,0.0016836161,0.00010846328
43,292.626,1,0.0015534728,4.0056047e-08
44,276.65172,1,0.0014686696,4.0379507e-07
45,260.91072,1,0.0013851048,0.0028012557
46,248.11327,1,0.0013171666,4.9918319e-05
47,242.47496,1,0.0012872344,2.9016899e-05
48,231.11101,1,0.0012269062,1.6576389e-05
49,211.58688,1,0.0011232579,0.00034392499
50,203.11676,1,0.0010782923,0.00011115602
51,197.96821,1,0.00105096,0.00027548212
52,194.9884,1,0.001035141,0.0014047125
53,189.65992,1,0.0010068536,0.00051279474
54,177.07127,1,0.00094002377,7.1023205e-06
55,166.21908,1,0.00088241243,6.52133e-06
56,165.75262,1,0.00087993608,3.0029064e-06
57,158.51366,1,0.00084150641,0.00065936744
58,155.01336,1,0.00082292425,0.0001003539
59,148.86032,1,0.00079025939,0.00074352383
60,144.67612,1,0.00076804663,8.4347344e-06
61,137.7244,1,0.0007311418,0.00018289587
62,135.29725,1,0.00071825675,5.4416162e-05
63,133.13779,1,0.00070679272,0.0025125268
64,127.29672,1,0.00067578406,0.0021587432
65,119.523,1,0.00063451548,0.00034491911
66,116.8338,1,0.00062023921,0.00098336765
67,109.03735,1,0.00057884997,0.0003037745
