r,J_learned,J_learned_std,count
0.43447497,8.6882144,0.81227629,1536
0.71601499,8.8630704,0.79110191,1536
0.8824548,8.8857768,0.83056739,1536
1.0117401,8.943822,0.81261209,1536
1.1206967,8.9966134,0.81674742,1536
1.2162174,9.020999,0.84505541,1536
1.3028332,9.0633536,0.86422189,1536
1.3838579,9.0593769,0.83744038,1536
1.4596969,9.1148887,0.83971437,1536
1.5328285,9.0768567,0.85579026,1536
1.6027406,9.1005387,0.84740572,1536
1.6712365,9.0829087,0.84589223,1536
1.7364997,9.1201831,0.84200817,1536
1.8003212,9.106631,0.81965745,1536
1.8636357,9.1075751,0.87133767,1536
1.9264877,9.0872152,0.8339539,1536
1.9887391,9.1425865,0.80357624,1536
2.0522954,9.1483164,0.83460072,1536
2.1132822,9.1419767,0.80739135,1536
2.1740184,9.1756905,0.82476504,1536
2.2359668,9.1942476,0.82526646,1536
2.2973476,9.2214591,0.81392079,1536
2.3593786,9.211763,0.79111505,1536
2.4217634,9.2230567,0.75635066,1536
2.4869699,9.2718832,0.79048568,1536
2.5510373,9.2221169,0.80679428,1536
2.6180498,9.2914872,0.77983715,1536
2.6888998,9.3145175,0.79315388,1536
2.7612039,9.2874077,0.75184507,1536
2.8350379,9.3450742,0.77744606,1536
2.9144177,9.3662031,0.73834058,1536
2.9976457,9.4144339,0.74344882,1536
3.0859833,9.4126109,0.73799344,1536
3.1832903,9.4592177,0.72915708,1536
3.2894669,9.5559354,0.71888487,1536
3.4133219,9.578166,0.68838405,1536
3.5602788,9.6319849,0.68887207,1536
3.7433919,9.7391053,0.66639931,1536
4.0035104,9.8727588,0.65118837,1536
4.5430603,10.155155,0.65252692,1536
