r,delta_logpsi
10.817523,-2.1538173
13.280245,-2.2527287
14.38945,-2.2584215
15.110679,-2.2276353
15.747522,-2.2479925
16.328926,-2.1980793
16.900486,-2.279458
17.367845,-2.2930591
17.732966,-2.2477081
18.125434,-2.3223676
18.482764,-2.3107913
18.869278,-2.2756494
19.264167,-2.3696782
19.616662,-2.3090269
19.920064,-2.3892511
20.24656,-2.3850436
20.55123,-2.3930612
20.898161,-2.3683778
21.322353,-2.3890465
21.727916,-2.4334927
22.066405,-2.4300502
22.448163,-2.4623206
22.807663,-2.4589046
23.191301,-2.4522436
23.686964,-2.4825625
24.196602,-2.5471488
24.768081,-2.5345119
25.336191,-2.5868934
26.177117,-2.6119031
28.541799,-2.722977
