r,J_total,u_cusp,f_net
0.28593532,12.247228,3.437373,8.8098551
0.47870193,12.502573,3.5388607,8.9637124
0.60038215,12.468724,3.5998722,8.8688517
0.67704023,12.740379,3.5541106,9.1862687
0.74626038,12.503668,3.7389686,8.7646995
0.8124333,12.889315,3.5339103,9.3554045
0.87495183,12.55253,3.7769077,8.7756227
0.92036115,12.732743,3.6702473,9.0624957
0.96031094,12.951719,3.6103419,9.341377
1.0044361,13.064451,3.6137178,9.4507332
1.0416522,13.034548,3.5877678,9.4467798
1.0783371,13.052796,3.6166075,9.4361882
1.1214913,13.162029,3.5681404,9.593889
1.1598744,12.998203,3.6948273,9.3033756
1.1903531,12.784948,3.7818327,9.0031156
1.2301982,13.090298,3.6696847,9.4206131
1.2723281,13.20934,3.6428384,9.5665017
1.3143209,13.127375,3.6966613,9.4307136
1.3538234,13.093639,3.7066773,9.3869614
1.390967,13.538142,3.5239459,10.014196
1.4368373,13.560882,3.5163901,10.044492
1.4780562,13.738975,3.443465,10.29551
1.5261724,13.844806,3.3470455,10.497761
1.5742575,13.716842,3.473916,10.242926
1.6295189,13.846438,3.4232102,10.423228
1.6812471,14.145733,3.2924505,10.853283
1.7533918,14.069306,3.336434,10.732872
1.8358971,14.395472,3.2022831,11.193189
1.9371052,14.316313,3.2708312,11.045482
2.1787594,14.77394,3.0652535,11.708687
