r,J_learned,J_learned_std,count
0.44542622,10.88288,0.79848541,768
0.72636786,11.007318,0.83105566,768
0.8910506,11.128388,0.83798125,768
1.0132128,11.106994,0.81614113,768
1.1188322,11.171881,0.89642823,768
1.2117157,11.248686,0.8289314,768
1.2966931,11.158652,0.87071314,768
1.3735901,11.211212,0.84521703,768
1.448423,11.197508,0.85259349,768
1.5195589,11.233834,0.83198054,768
1.5897729,11.271752,0.83460303,768
1.6576529,11.293962,0.84239114,768
1.7225844,11.256309,0.82242725,768
1.7848191,11.285201,0.84652572,768
1.8500635,11.318542,0.80693991,768
1.9133933,11.318134,0.87008577,768
1.9762073,11.361284,0.83463843,768
2.0380477,11.348846,0.88987533,768
2.0973158,11.354826,0.79962138,768
2.1584289,11.305745,0.83188443,768
2.221171,11.357805,0.81875799,768
2.2817254,11.405762,0.8129793,768
2.3422426,11.402859,0.78888594,768
2.4084831,11.374529,0.79463115,768
2.4736679,11.370672,0.78492374,768
2.5393295,11.460684,0.75987004,768
2.6073273,11.510624,0.78331433,768
2.6781398,11.4743,0.77180713,768
2.7489684,11.509007,0.78034274,768
2.823274,11.486354,0.79398843,768
2.9065427,11.550318,0.76043174,768
2.9944015,11.596179,0.74865527,768
3.0880103,11.624304,0.74956887,768
3.1824924,11.784039,0.73867926,768
3.2902405,11.728344,0.71825378,768
3.4083026,11.749557,0.74434096,768
3.5496928,11.879236,0.67917398,768
3.7336166,11.936218,0.68312993,768
3.9871742,12.075297,0.68351895,768
4.528482,12.361096,0.66985727,768
