step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,1,0.12267553,3.1195141e+09,1.0688075,383
41,1,0.3743101,1.3711312e+09,1.1875546,383
54,1,0.58013191,5.5532731e+09,1.0494087,383
71,1,0.35440509,2.2198587e+09,1.07311,383
94,1,0.11511633,2.1889201e+09,1.0845985,383
124,1,0.090491494,2.7647786e+09,1.0789521,383
164,1,0.1407544,1.0491775e+09,1.1409894,383
217,1,0.10877825,5.624406e+08,1.1455479,383
286,1,0.085163501,2.3219994e+08,1.1703565,383
378,1,0.03120851,1.0786128e+08,1.1795651,383
499,1,0.092636813,91358905,1.1739627,383
658,1,0.14772584,63498400,1.2107757,383
869,1,0.10633895,55245469,1.1567147,383
1147,1,0.038137222,33234779,1.1693461,383
1515,1,0.25072848,21720284,1.186981,383
2000,1,0.084621582,10520356,1.2551489,383
3200,1,0.046783013,51615495,1.3928959,767
