step,E_raw,E_clip,stderr,var
31,20.180896,20.191839,0.022760279,0.28749088
41,20.314545,20.303208,0.03733512,0.56610337
54,20.284996,20.284996,0.032762316,0.27240974
71,20.196636,20.196897,0.023615777,0.22312968
94,20.216094,20.215891,0.017174005,0.1422656
124,20.173112,20.198954,0.022436682,0.21098114
164,20.248102,20.243907,0.01745791,0.14194629
217,20.166265,20.169017,0.014274318,0.10573374
286,20.164882,20.166727,0.020017772,0.092052103
378,20.154781,20.180509,0.016635079,0.080511517
499,20.174675,20.182918,0.011444853,0.06488951
658,20.174737,20.183645,0.012016633,0.059178266
869,20.158765,20.160573,0.012908541,0.049042785
1147,20.147363,20.166775,0.010535925,0.044008429
1515,20.167977,20.167997,0.0086501838,0.034139101
2000,20.160774,20.164997,0.0056685913,0.026893604
3200,20.153167,20.156864,0.0032759369,0.022824752
