step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,1,0.24012234,1.6387871e+09,3.7561257,383
41,1,0.4486345,2.4546781e+09,3.9139946,383
54,1,0.14644265,1.6918491e+09,4.2370232,383
71,1,0.15754544,2.1019896e+09,4.2551604,383
94,1,0.15550339,3.8215338e+09,3.6945625,383
124,1,0.10942443,1.4977638e+09,3.704204,383
164,1,0.11425526,1.6675114e+09,3.5305626,383
217,1,0.11990009,6.5454523e+08,3.2560382,383
286,1,0.092956546,4.1193989e+08,3.3887486,383
378,1,0.110656,1.3542185e+08,3.403595,383
499,1,0.1245846,56135217,3.726465,383
658,1,0.13320413,27059473,3.7538264,383
869,1,0.22640281,22875962,3.4136371,383
1147,1,0.073900833,12445951,3.4121825,383
1515,1,0.15388196,8323290.5,3.3931654,383
2000,1,0.22973418,4395015.8,3.5575702,383
3200,1,0.11837333,33602472,4.3536727,767
