step,E_raw,E_clip,stderr,var
31,20.16365,20.163435,0.030472042,0.37147463
41,20.218011,20.221847,0.041879451,0.44666504
54,20.176425,20.183334,0.031331928,0.5026943
71,20.198558,20.200788,0.033030819,0.28664005
94,20.169035,20.169035,0.020782636,0.23603833
124,20.183112,20.183112,0.019427175,0.15319599
164,20.189348,20.19338,0.017963757,0.14358126
217,20.203376,20.203608,0.023262091,0.16198045
286,20.155838,20.163021,0.015742894,0.13178272
378,20.191528,20.204741,0.014136838,0.11005364
499,20.172008,20.175927,0.016772282,0.11134932
658,20.129249,20.150607,0.012357091,0.070956219
869,20.162893,20.163728,0.015063322,0.069540372
1147,20.165782,20.165782,0.01272213,0.063618535
1515,20.172012,20.169219,0.010763634,0.046240326
2000,20.171924,20.17304,0.0074913518,0.032535334
3200,20.165954,20.162129,0.0029601931,0.030397097
