r,J_learned,J_learned_std,count
0.44530892,15.435557,0.79921533,768
0.73145869,15.581219,0.83972289,768
0.90289924,15.624587,0.83383135,768
1.0250015,15.676759,0.82561085,768
1.1343562,15.718368,0.85268045,768
1.2310622,15.733882,0.83085764,768
1.3214236,15.729131,0.83013563,768
1.4010123,15.766584,0.86360214,768
1.4767622,15.767129,0.81979855,768
1.5486211,15.782099,0.85093529,768
1.6160217,15.849509,0.85577485,768
1.6826856,15.825102,0.86884755,768
1.7475823,15.815077,0.86955157,768
1.8131666,15.823358,0.83993468,768
1.8731651,15.840831,0.79867523,768
1.9361008,15.834994,0.8484482,768
2.0000869,15.874091,0.80344352,768
2.0608695,15.943262,0.79921634,768
2.1240334,15.893395,0.7908086,768
2.1897272,15.903502,0.84190813,768
2.2507742,15.891107,0.78264037,768
2.3120072,15.899602,0.80677263,768
2.3757441,15.946209,0.79237127,768
2.4417202,15.977243,0.80446061,768
2.5083431,15.998603,0.79887456,768
2.5719247,15.995153,0.7733726,768
2.6406982,16.007357,0.76487335,768
2.7106211,16.026048,0.77784195,768
2.7813991,16.060066,0.79922498,768
2.8591387,16.062906,0.77066966,768
2.9402064,16.106132,0.74786938,768
3.0265129,16.168264,0.74895725,768
3.1167672,16.156765,0.76771616,768
3.2155399,16.210665,0.71815568,768
3.3219707,16.237758,0.74145289,768
3.4445114,16.326064,0.69658186,768
3.5874224,16.338227,0.70245292,768
3.7719526,16.442817,0.66111175,768
4.0202469,16.610454,0.61457242,768
4.5635266,16.928136,0.65944519,768
