mode,mu,sr_weight,plain_weight,residual_power
1,8965.5338,1,1,0.0043283629
2,2539.5378,1,0.28325562,0.1244959
3,2287.6828,1,0.25516415,0.0034708739
4,1423.1955,1,0.15874074,0.070508105
5,1352.9641,1,0.15090725,0.026832838
6,810.52548,1,0.090404598,0.056655216
7,570.19944,1,0.063599051,0.29779951
8,411.64856,1,0.045914563,0.1615313
9,356.70508,1,0.039786262,0.14082103
10,213.54469,1,0.023818402,0.14978793
11,194.40987,1,0.021684137,0.00017300655
12,107.9583,1,0.01204148,0.16820443
13,98.878948,1,0.011028785,0.0027894865
14,84.938304,1,0.0094738703,0.031626276
15,80.56302,1,0.0089858588,0.011766059
16,66.372369,1,0.0074030582,0.010857735
17,65.552743,1,0.0073116387,0.015285189
18,61.046781,1,0.0068090515,0.022647072
19,58.080928,1,0.0064782454,0.0016644216
20,49.129067,1,0.0054797704,0.038235738
21,41.973062,1,0.0046816022,6.3873537e-05
22,40.710876,1,0.0045408201,0.0025559753
23,35.731127,1,0.0039853876,0.04609851
24,31.749788,1,0.003541316,0.016880575
25,28.834991,1,0.0032162046,0.029147014
26,25.62498,1,0.0028581656,0.018845035
27,25.050857,1,0.0027941289,0.023121915
28,23.691756,1,0.0026425371,0.20540655
29,21.601603,1,0.0024094052,0.0021834299
30,20.447832,1,0.0022807156,0.1791295
31,18.980096,1,0.0021170068,0.032334572
32,18.645033,1,0.0020796345,0.15705581
33,17.823003,1,0.0019879467,0.025563097
34,16.922301,1,0.0018874839,0.16739433
35,16.403582,1,0.0018296269,0.045027209
36,15.559019,1,0.0017354259,0.010349791
37,15.335477,1,0.0017104924,0.0030432487
38,15.024357,1,0.0016757905,0.0063927267
39,13.932634,1,0.0015540216,6.4971001e-05
40,13.613101,1,0.0015183816,0.037566841
41,12.620081,1,0.0014076218,0.0040160002
42,11.588911,1,0.0012926069,0.043897571
43,10.743592,1,0.0011983216,0.13293561
44,10.627181,1,0.0011853372,0.03522452
45,10.340539,1,0.0011533656,1.7494466e-05
46,9.6090202,1,0.0010717734,0.38050599
47,8.8864693,1,0.00099118128,0.0027726462
48,8.7799347,1,0.0009792986,0.0077731377
49,8.6505995,1,0.00096487278,0.055613001
50,8.1787491,1,0.00091224341,0.0060900249
51,7.7973679,1,0.00086970481,0.0012520997
52,7.7607497,1,0.00086562048,5.3200207e-05
53,7.2825671,1,0.00081228483,0.00026783807
54,6.7475358,1,0.00075260838,0.027709984
