step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,1,0.12159641,3.7404632e+09,3.1712876,383
41,1,0.11243199,8.4805112e+08,3.5664172,383
54,1,0.066804244,4.0385848e+09,3.4814273,383
71,1,0.12852892,5.2960552e+09,3.5814988,383
94,1,0.20546554,5.3703273e+09,3.5154893,383
124,1,0.082267559,6.9451516e+09,3.4703868,383
164,1,0.13095542,4.104218e+09,3.3929577,383
217,1,0.083690432,6.1387809e+09,3.5654822,383
286,1,0.18231752,4.6717379e+09,3.3276048,383
378,1,0.11766569,5.0264745e+09,3.2753657,383
499,1,0.15390362,2.7431899e+09,3.2642367,383
658,1,0.085332348,3.684213e+09,3.2598243,383
869,1,0.10148558,2.7088197e+09,3.4430797,383
1147,1,0.051294384,2.4949506e+09,3.037493,383
1515,1,0.082858871,9.9161217e+08,3.2681802,383
2000,1,0.06661418,3.2439501e+08,3.3779785,383
3200,1,0.074742888,3.2403935e+09,3.5595918,767
