step,E_raw,E_clip,stderr,var
31,20.209803,20.208873,0.025947546,0.33450382
41,20.147437,20.149531,0.020198649,0.26900503
54,20.201802,20.197568,0.027784727,0.30428972
71,20.220219,20.221202,0.022015743,0.18138242
94,20.171506,20.17395,0.018741638,0.19282189
124,20.190792,20.191087,0.02084303,0.16576934
164,20.198865,20.193632,0.021437018,0.16493911
217,20.15908,20.159425,0.014613818,0.12698342
286,20.173603,20.17205,0.020358451,0.13805038
378,20.197913,20.196217,0.015614882,0.10737066
499,20.191226,20.189437,0.01704238,0.13561803
658,20.176634,20.174748,0.016674125,0.12320212
869,20.133407,20.134876,0.015332284,0.089657919
1147,20.155039,20.15922,0.020696625,0.1228672
1515,20.183043,20.183491,0.017202354,0.11440984
2000,20.146429,20.147447,0.014318054,0.1175564
3200,20.171039,20.171042,0.0074648407,0.090389296
