r,J_learned,J_learned_std,count
0.44137016,12.704362,0.82416594,768
0.71938286,12.879295,0.81154735,768
0.88348382,12.901286,0.83162733,768
1.0159966,12.964576,0.83566315,768
1.1241771,12.997109,0.84159374,768
1.2222194,13.037625,0.83113578,768
1.311754,13.011645,0.88792731,768
1.3946143,13.002461,0.82362344,768
1.4737336,13.033949,0.84128729,768
1.5463558,13.048181,0.83565486,768
1.616663,13.086841,0.81712302,768
1.686148,13.1244,0.81265048,768
1.7494482,13.094204,0.85825172,768
1.8141166,13.13053,0.82873047,768
1.8774189,13.149965,0.84945382,768
1.9391218,13.114628,0.83073553,768
2.0026651,13.172448,0.82398138,768
2.0647914,13.136613,0.8073467,768
2.1255521,13.124711,0.83939512,768
2.1852669,13.190254,0.79924355,768
2.2486968,13.209118,0.84786848,768
2.3111781,13.191985,0.79808027,768
2.3716931,13.22908,0.80988022,768
2.4339527,13.259923,0.82097172,768
2.4995896,13.245098,0.75645899,768
2.5676413,13.280553,0.76525623,768
2.6398469,13.237897,0.76777307,768
2.7097331,13.305605,0.7605454,768
2.7827717,13.37443,0.71911657,768
2.8612187,13.36648,0.72592462,768
2.9407222,13.394405,0.73665501,768
3.0234732,13.351689,0.72863701,768
3.1108349,13.393999,0.73258671,768
3.2090758,13.455932,0.7086493,768
3.3238184,13.538004,0.71709674,768
3.4499303,13.569188,0.66839861,768
3.5974229,13.663937,0.71179475,768
3.7735013,13.751101,0.69386736,768
4.0263846,13.854586,0.69005848,768
4.5868037,14.184433,0.66769323,768
