mode,mu,sr_weight,plain_weight,residual_power
1,17914.463,1,1,0.24999091
2,7322.5468,1,0.40875057,0.15740817
3,6380.7547,1,0.35617896,0.0042341406
4,2302.7596,1,0.12854193,0.0078010901
5,1688.1366,1,0.094233168,0.023806206
6,1058.9455,1,0.059111207,0.048655178
7,613.32184,1,0.034236128,0.067985762
8,290.34783,1,0.016207454,0.13240886
9,157.41568,1,0.0087870721,0.0063800413
10,133.01572,1,0.0074250467,0.21126819
11,98.586463,1,0.0055031773,0.14273656
12,85.332257,1,0.0047633166,0.002568095
13,77.893465,1,0.0043480771,0.082028655
14,73.811279,1,0.0041202061,0.014286471
15,71.05445,1,0.0039663177,0.031054473
16,60.772678,1,0.0033923807,0.00055156317
17,55.525346,1,0.0030994704,0.00041149458
18,53.017386,1,0.0029594739,0.00086696544
19,48.295519,1,0.0026958955,0.13756565
20,45.6428,1,0.0025478185,0.0015987578
21,40.126323,1,0.0022398843,0.016203873
22,31.780176,1,0.0017739955,0.011519749
23,27.221605,1,0.0015195323,0.047939913
24,22.985658,1,0.0012830783,0.0237021
25,19.55416,1,0.0010915293,0.32761345
26,18.993387,1,0.0010602264,0.15463523
27,15.24963,1,0.00085124688,0.0099063567
28,14.294957,1,0.00079795622,0.21371026
29,13.003062,1,0.00072584161,0.012703791
30,10.538659,1,0.00058827657,0.035540504
31,9.5106598,1,0.00053089283,0.063354323
32,8.8207678,1,0.0004923825,0.0043197235
33,8.0835325,1,0.00045122941,0.11599392
34,6.9865494,1,0.00038999492,0.080449723
35,6.4385744,1,0.0003594065,0.038602017
36,5.6091107,1,0.00031310516,0.11251131
37,5.2864532,1,0.00029509415,0.028002579
38,4.9783666,1,0.0002778965,0.095686515
39,4.5814449,1,0.00025574001,0.45230291
40,4.1827186,1,0.00023348278,0.10273328
41,4.0132666,1,0.00022402384,0.18679139
42,3.7337033,1,0.00020841838,0.60280269
43,3.54626,1,0.00019795514,0.37652775
44,3.4740695,1,0.00019392541,0.19374752
45,3.2486789,1,0.00018134392,0.06472479
46,2.9947548,1,0.00016716967,0.28451163
47,2.7891538,1,0.00015569285,0.0010818943
48,2.6131588,1,0.00014586867,0.11125771
49,2.5649432,1,0.00014317723,0.11573491
50,2.470261,1,0.00013789199,0.040442991
51,2.3542761,1,0.00013141763,0.0035924286
52,2.2332522,1,0.00012466197,0.0034921723
53,2.1575436,1,0.00012043585,0.0013312293
54,2.0565729,1,0.00011479958,0.096077684
55,1.9920995,1,0.00011120063,0.011349224
56,1.8402513,1,0.00010272433,0.00030670407
57,1.7726186,1,9.8949023e-05,0.066083433
58,1.6840529,1,9.4005214e-05,0.042711224
59,1.5571513,1,8.6921466e-05,0.36607751
60,1.4851442,1,8.2901967e-05,0.0044070055
61,1.4369938,1,8.0214171e-05,0.011047155
62,1.4061875,1,7.849454e-05,0.0045333233
63,1.3550708,1,7.5641165e-05,0.01111792
64,1.3144,1,7.3370885e-05,0.00035078952
65,1.2108805,1,6.7592343e-05,0.63061653
66,1.1322984,1,6.3205827e-05,0.1516771
67,1.1125494,1,6.2103422e-05,0.044901481
68,1.0656172,1,5.9483628e-05,0.18295606
69,1.0364949,1,5.7857996e-05,0.0047592747
70,1.011925,1,5.6486484e-05,0.0063436619
71,0.8896838,1,4.9662879e-05,0.18437141
72,0.86541433,1,4.8308138e-05,0.037139498
73,0.84843082,1,4.7360105e-05,0.073973185
74,0.79505545,1,4.4380648e-05,0.0050191572
75,0.7683694,1,4.289101e-05,0.096510233
76,0.7502256,1,4.1878209e-05,0.0084471767
77,0.6910954,1,3.8577512e-05,0.074662578
78,0.67367855,1,3.7605289e-05,0.098413523
79,0.66918193,1,3.7354284e-05,0.026247301
80,0.65598743,1,3.6617757e-05,0.0024721882
81,0.63846943,1,3.5639887e-05,0.047775735
82,0.59357011,1,3.3133571e-05,0.17071225
83,0.57121502,1,3.1885691e-05,0.18889542
84,0.55883374,1,3.1194558e-05,0.026608573
85,0.5518857,1,3.0806713e-05,1.1716135e-05
86,0.52166357,1,2.9119688e-05,0.071289432
87,0.46710008,1,2.607391e-05,0.011561625
88,0.45725036,1,2.552409e-05,0.021297611
89,0.45299145,1,2.5286354e-05,0.14806296
90,0.4365983,1,2.4371275e-05,0.031283593
91,0.40985167,1,2.2878256e-05,0.002309156
92,0.39799595,1,2.221646e-05,0.0055814567
93,0.37989408,1,2.1205999e-05,0.0016745503
94,0.37639162,1,2.1010489e-05,0.027776673
95,0.35222588,1,1.9661538e-05,0.053504808
96,0.34539288,1,1.9280114e-05,0.16764924
97,0.33449071,1,1.8671546e-05,0.018188836
98,0.32702383,1,1.8254738e-05,0.57113095
99,0.31924484,1,1.7820509e-05,0.079054505
100,0.30536339,1,1.7045635e-05,0.10896216
101,0.29019761,1,1.6199069e-05,0.011826227
102,0.27262698,1,1.5218262e-05,0.0017097805
103,0.27161482,1,1.5161762e-05,0.2852579
104,0.26826147,1,1.4974575e-05,0.040310741
105,0.25529089,1,1.4250547e-05,0.18149326
106,0.2532087,1,1.4134317e-05,0.053393562
107,0.23346319,1,1.3032107e-05,0.023577995
108,0.2279366,1,1.2723608e-05,0.0084897317
109,0.22211355,1,1.2398561e-05,0.1115921
110,0.21669903,1,1.2096318e-05,0.42471091
111,0.20496934,1,1.1441557e-05,0.028697493
112,0.19966122,1,1.1145253e-05,0.031671251
113,0.19216892,1,1.0727027e-05,0.027141709
114,0.19065178,1,1.0642338e-05,0.16852238
115,0.1831485,1,1.02235e-05,0.36964414
116,0.17094945,1,9.5425387e-06,0.042882333
117,0.16575275,1,9.2524545e-06,0.36931195
118,0.16122569,1,8.99975e-06,0.24562211
119,0.15701682,1,8.7648078e-06,0.031800991
120,0.14745869,1,8.2312648e-06,0.12854569
121,0.1420599,1,7.9299002e-06,0.0173245
122,0.13935793,1,7.7790739e-06,0.0025702946
123,0.13667783,1,7.6294687e-06,0.16180894
124,0.13384088,1,7.4711079e-06,0.3686576
125,0.12696524,1,7.0873036e-06,0.068033836
126,0.1245479,1,6.9523657e-06,0.25421127
127,0.11533432,1,6.4380566e-06,0.063302625
128,0.11435896,1,6.3836112e-06,0.043723633
129,0.11374334,1,6.3492468e-06,0.026977426
130,0.10882681,1,6.074802e-06,0.0024351039
131,0.10787918,1,6.0219046e-06,0.00031955362
132,0.10731677,1,5.9905104e-06,0.1853377
133,0.10308774,1,5.7544421e-06,0.0032599141
134,0.10041366,1,5.6051728e-06,0.034601361
135,0.09537495,1,5.3239079e-06,0.05834826
136,0.092624218,1,5.1703598e-06,0.0077821495
137,0.091959044,1,5.1332293e-06,0.030620198
138,0.0867966,1,4.8450574e-06,0.0087736391
139,0.085668557,1,4.7820891e-06,0.26668033
140,0.08428794,1,4.705022e-06,0.53936643
141,0.082028005,1,4.5788705e-06,0.015767222
142,0.081742151,1,4.5629139e-06,0.044646299
143,0.078728847,1,4.3947088e-06,0.20038422
144,0.07712598,1,4.3052355e-06,0.034902538
145,0.075188331,1,4.1970743e-06,0.26876247
146,0.074149223,1,4.1390704e-06,0.015217194
147,0.070407318,1,3.9301942e-06,0.019881473
148,0.069219052,1,3.8638643e-06,0.023041034
149,0.067649371,1,3.7762434e-06,0.90911684
150,0.064687074,1,3.6108855e-06,0.0030278512
151,0.062938959,1,3.5133043e-06,0.035223227
152,0.062121598,1,3.4676786e-06,3.4802969e-05
153,0.061511652,1,3.4336308e-06,0.24161064
154,0.059654979,1,3.3299898e-06,0.16510355
155,0.059345867,1,3.312735e-06,0.088154434
156,0.056100081,1,3.1315525e-06,1.1282432
157,0.055191609,1,3.0808409e-06,0.24783168
158,0.054269014,1,3.0293409e-06,0.055643307
159,0.052208359,1,2.9143134e-06,0.11056071
160,0.051327744,1,2.8651567e-06,0.44099759
161,0.050283152,1,2.8068468e-06,0.032743076
162,0.048245747,1,2.6931171e-06,0.35724369
163,0.046836233,1,2.6144369e-06,0.1517602
164,0.046024934,1,2.5691496e-06,0.1159342
165,0.044783636,1,2.4998593e-06,0.26730494
166,0.044190579,1,2.4667543e-06,0.24035443
167,0.04350318,1,2.4283832e-06,0.79468135
168,0.041913755,1,2.3396602e-06,0.0036350249
