step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,1,0.22669459,2.0680501e+09,3.78724,383
41,1,0.30162433,1.148039e+09,4.2032482,383
54,1,0.2260361,7.5299176e+08,4.0883219,383
71,1,0.16778548,6.8167153e+08,3.6650947,383
94,1,0.13514388,6.3653712e+08,2.9233882,383
124,1,0.12139706,2.1010441e+08,3.485724,383
164,1,0.092244497,3.1786334e+08,3.5392157,383
217,1,0.15784765,2.2376496e+08,3.309366,383
286,1,0.12939608,1.4270319e+08,3.2396165,383
378,1,0.10081504,1.073279e+08,2.7981191,383
499,1,0.096118908,31675815,3.6402782,383
658,1,0.17657722,15353634,3.7659727,383
869,1,0.33395058,10459138,3.8656388,383
1147,1,0.16457138,5452670.9,3.6561193,383
1515,1,0.1446597,3805313.9,3.8864167,383
2000,1,0.20538773,2757317.6,3.5058812,383
3200,1,0.15593098,14408230,4.7574426,767
