step,E_raw,E_clip,stderr,var
31,20.237291,20.247512,0.032638428,0.30801295
41,20.237654,20.247187,0.030778638,0.57406393
54,20.208464,20.214292,0.036838018,0.41292091
71,20.17658,20.173,0.03645586,0.401855
94,20.207459,20.211537,0.030209721,0.32138954
124,20.214722,20.214722,0.022064064,0.19938514
164,20.200017,20.197378,0.02538957,0.17181699
217,20.188437,20.188437,0.017883715,0.13642952
286,20.187719,20.189511,0.015894932,0.1180095
378,20.191642,20.191642,0.015141381,0.087028604
499,20.169609,20.167633,0.011869691,0.084864088
658,20.177684,20.173267,0.014526703,0.082818258
869,20.163471,20.164912,0.010052975,0.060840623
1147,20.161187,20.150361,0.01230347,0.067595698
1515,20.149407,20.150341,0.010727192,0.046054722
2000,20.152077,20.153252,0.011129637,0.041014549
3200,20.148588,20.148809,0.0036185303,0.033239588
