r,J_learned,J_learned_std,count
0.45689646,17.691792,0.78697685,768
0.74242035,17.91715,0.8139737,768
0.90109302,17.965594,0.78782212,768
1.0248515,18.021056,0.80140812,768
1.1310722,17.994272,0.8511251,768
1.2284408,18.054066,0.81779761,768
1.3150853,18.031978,0.81916724,768
1.3945829,18.03449,0.83075479,768
1.4697037,18.116707,0.83087054,768
1.5439024,18.061231,0.81321024,768
1.6159371,18.092925,0.84674987,768
1.6853997,18.090319,0.81939333,768
1.7519064,18.186613,0.80304705,768
1.8160852,18.145481,0.8202239,768
1.8778712,18.1773,0.7769885,768
1.9379793,18.102924,0.83836286,768
2.0032155,18.167296,0.82711685,768
2.0648923,18.197275,0.82086246,768
2.1267842,18.226133,0.74608249,768
2.1873516,18.236684,0.79128061,768
2.2471763,18.214209,0.79589637,768
2.3092422,18.241559,0.78284193,768
2.3740826,18.240687,0.79806732,768
2.4368537,18.270634,0.75672116,768
2.5008057,18.221826,0.812166,768
2.5649736,18.257168,0.78850454,768
2.6333296,18.283505,0.78758516,768
2.7043447,18.318684,0.78113359,768
2.7762605,18.306132,0.77059578,768
2.8520307,18.344913,0.7483008,768
2.9337602,18.413621,0.74296055,768
3.016509,18.412878,0.71689451,768
3.1091965,18.506028,0.73739008,768
3.2073945,18.495524,0.70569407,768
3.3156972,18.573673,0.71695058,768
3.4390332,18.589143,0.7130706,768
3.5764712,18.628822,0.713924,768
3.7479802,18.7244,0.67249606,768
4.0099509,18.872059,0.64576414,768
4.5554175,19.152762,0.63739345,768
