mode,mu,sr_weight,plain_weight,residual_power
1,6507.8266,1,1,0.079869571
2,1736.0636,1,0.2667655,0.32730181
3,1708.8532,1,0.26258431,0.0024021962
4,1197.8252,1,0.18405918,0.0089525863
5,956.31266,1,0.14694809,0.091837368
6,489.31089,1,0.075188066,0.6345997
7,388.83365,1,0.059748619,0.15458849
8,362.96037,1,0.055772902,0.038382437
9,296.57059,1,0.045571372,0.054978019
10,245.29395,1,0.037692146,0.71102233
11,231.64374,1,0.035594639,0.18617986
12,102.89774,1,0.015811383,0.18661064
13,89.872657,1,0.013809934,0.0050296133
14,81.527739,1,0.012527645,0.99313492
15,71.274812,1,0.010952168,0.06992742
16,70.009078,1,0.010757674,0.3112502
17,63.476342,1,0.0097538465,0.15715559
18,61.513228,1,0.0094521923,0.23637753
19,55.995315,1,0.0086043036,0.0086896309
20,53.072767,1,0.0081552214,0.012022026
21,49.551859,1,0.0076141948,0.080330593
22,43.178052,1,0.0066347884,0.25550725
23,41.631698,1,0.0063971738,0.062726192
24,36.590158,1,0.0056224851,0.11758549
25,34.926573,1,0.0053668567,0.0021457072
26,30.279435,1,0.0046527722,0.014532493
27,28.716158,1,0.0044125574,0.10158072
28,26.151931,1,0.0040185353,0.070104385
29,24.262939,1,0.0037282707,0.81235469
30,21.990304,1,0.003379055,0.025250391
31,20.296849,1,0.0031188368,0.001469764
32,18.596883,1,0.0028576181,0.14280128
33,18.329195,1,0.0028164849,0.19344607
34,17.585224,1,0.0027021654,0.12285873
35,16.560144,1,0.0025446505,0.0014480172
36,15.371621,1,0.0023620207,0.11856551
37,14.308634,1,0.0021986809,0.024313188
38,13.803523,1,0.002121065,0.0061004494
39,13.534028,1,0.002079654,0.0090809708
40,12.615742,1,0.0019385493,0.14784854
41,12.086229,1,0.0018571836,0.0058454156
42,11.881534,1,0.0018257299,0.097855805
43,11.224024,1,0.0017246963,0.49213122
44,10.880898,1,0.0016719712,0.26400329
45,10.341395,1,0.0015890705,0.028117923
46,9.6642954,1,0.0014850266,0.017061069
47,9.5804078,1,0.0014721363,0.0012401415
48,9.3791961,1,0.0014412179,0.19475346
49,8.9664025,1,0.0013777876,0.14058411
50,8.4383194,1,0.0012966417,0.13983758
51,7.8409774,1,0.0012048535,0.19579397
52,7.5455788,1,0.0011594622,0.056564109
53,7.1434193,1,0.0010976659,0.014271846
54,6.9026161,1,0.0010606638,0.0015486591
55,6.7511331,1,0.0010373867,0.0014945531
56,6.3161706,1,0.00097054992,0.088075885
57,6.2423948,1,0.00095921345,0.34058259
58,5.9082239,1,0.00090786438,0.0097727202
59,5.7857219,1,0.00088904058,0.011337977
60,5.4235755,1,0.00083339275,0.00391527
61,5.2064961,1,0.00080003608,0.13778869
62,5.0176356,1,0.00077101557,0.0052339685
63,4.989119,1,0.00076663368,0.0056718026
64,4.681995,1,0.00071944065,0.031692842
65,4.5673489,1,0.00070182401,0.0092752252
66,4.3957118,1,0.00067545005,0.014736645
67,4.3223091,1,0.00066417091,0.17789733
68,4.2431002,1,0.00065199958,0.22673442
69,3.9571868,1,0.0006080658,0.0018794478
70,3.8601663,1,0.00059315752,0.26982129
71,3.825783,1,0.00058787414,0.11745302
72,3.6318808,1,0.00055807891,0.033883501
73,3.5660683,1,0.00054796609,0.0029578159
74,3.3720277,1,0.0005181496,0.099901854
75,3.1735952,1,0.00048765824,0.00139215
76,3.0410874,1,0.00046729694,0.20365491
77,2.9957706,1,0.00046033349,0.011090823
78,2.9257237,1,0.00044957001,0.31687797
79,2.8512052,1,0.00043811941,0.19458779
80,2.773755,1,0.00042621834,0.0014025573
81,2.7023226,1,0.00041524196,0.021801079
82,2.6485306,1,0.00040697621,0.00054464568
83,2.4796986,1,0.0003810333,0.016717289
84,2.4450245,1,0.00037570523,0.27462914
85,2.358355,1,0.0003623875,0.0018629427
86,2.2638738,1,0.00034786941,0.048821021
87,2.2032392,1,0.00033855222,0.069806995
88,2.1547425,1,0.00033110017,0.00049840971
89,2.1224709,1,0.00032614128,0.033906106
90,2.0106782,1,0.0003089631,0.0018173258
91,1.9705506,1,0.00030279703,0.091758121
92,1.9473335,1,0.00029922947,0.031653433
93,1.9006284,1,0.00029205272,5.7242846e-06
94,1.8643166,1,0.000286473,0.086556312
95,1.8145524,1,0.00027882618,0.0095195664
96,1.7507788,1,0.00026902666,0.018469885
97,1.7243197,1,0.00026496092,0.066603144
98,1.6154081,1,0.00024822543,0.010362238
99,1.566783,1,0.00024075365,0.10777257
100,1.5445522,1,0.00023733764,0.040147091
101,1.4858262,1,0.00022831373,0.32537708
102,1.4315518,1,0.00021997387,0.05453585
103,1.4152759,1,0.00021747289,0.043400192
104,1.3756281,1,0.00021138057,0.012805971
105,1.3496494,1,0.00020738866,0.035916008
106,1.3483453,1,0.00020718827,0.058963309
107,1.3036185,1,0.0002003155,0.021177601
108,1.294599,1,0.00019892954,0.048270565
109,1.237935,1,0.0001902225,0.25568563
110,1.1963421,1,0.00018383129,0.0043541988
111,1.1798817,1,0.00018130195,0.14361357
112,1.1561352,1,0.00017765305,0.34961602
113,1.1434465,1,0.00017570328,0.0027160494
114,1.1350664,1,0.00017441558,0.0088493942
115,1.1081308,1,0.00017027663,0.10335324
116,1.0657124,1,0.00016375858,0.011211738
117,1.0569371,1,0.00016241015,0.00013681583
118,1.0128729,1,0.00015563919,0.020801264
119,1.0007881,1,0.00015378223,0.024310014
120,0.98777904,1,0.00015178325,0.24340993
121,0.97826605,1,0.00015032147,0.022637331
122,0.95731966,1,0.00014710282,0.018602445
123,0.9469301,1,0.00014550635,0.01599096
124,0.89906339,1,0.0001381511,0.076826943
125,0.88809383,1,0.0001364655,0.0081358249
126,0.86829845,1,0.00013342372,0.30370444
127,0.85382662,1,0.00013119997,0.0099265947
128,0.84789157,1,0.00013028798,0.011397727
129,0.83382633,1,0.0001281267,0.066435042
130,0.80768844,1,0.00012411032,0.02471202
131,0.78927776,1,0.00012128131,0.10665473
132,0.76870515,1,0.0001181201,0.048226953
133,0.75646961,1,0.00011623998,0.087498845
134,0.73979206,1,0.00011367729,0.0015685354
135,0.71545902,1,0.00010993824,0.21784001
