r,J_learned,J_learned_std,count
0.42837868,13.419645,0.84082849,768
0.7247421,13.556351,0.76512514,768
0.88906151,13.571653,0.83415492,768
1.0150785,13.679887,0.81218969,768
1.1245664,13.681942,0.78750981,768
1.2244858,13.732134,0.85058442,768
1.3121933,13.749292,0.84187531,768
1.3910745,13.732083,0.84558503,768
1.4662476,13.80747,0.85210242,768
1.5416295,13.787921,0.85954501,768
1.6119438,13.818324,0.85757762,768
1.6790023,13.851017,0.86321874,768
1.7458171,13.838707,0.878434,768
1.8084176,13.79116,0.87384982,768
1.8736628,13.795472,0.85482576,768
1.9355543,13.842249,0.83909818,768
1.9949616,13.800904,0.8022912,768
2.0556211,13.876903,0.82885398,768
2.1203487,13.831234,0.81730962,768
2.1854921,13.876405,0.82418923,768
2.2498581,13.866621,0.82854722,768
2.312183,13.873888,0.83312078,768
2.3730973,13.940315,0.85107981,768
2.4338046,13.952017,0.80533413,768
2.4954112,13.983805,0.76873883,768
2.5576262,14.001462,0.76637574,768
2.6283249,13.989517,0.80729568,768
2.6988336,14.020289,0.79749652,768
2.7748828,14.044178,0.7718844,768
2.8516619,14.03213,0.75889091,768
2.9293444,14.092975,0.74994409,768
3.0116274,14.087043,0.78455764,768
3.1021058,14.106904,0.74045288,768
3.2027491,14.233114,0.71203301,768
3.3161101,14.220178,0.75800658,768
3.4381324,14.220612,0.71125188,768
3.5796128,14.393445,0.69320034,768
3.754357,14.486486,0.67096976,768
4.0069494,14.645709,0.7046202,768
4.5566465,14.886164,0.67309831,768
